title,pictureURLLarge,converted_price,brand,profit,ROI
benchmade knifecenter exclusive griptilian 20cv metonboss scales,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/tXsAAOSwYHRjuboX/$_1.JPG,250.0,benchmade,169.5,353.125
benchmade mini griptilian 557 jade g10 s90v steel special edition custom rare,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/ypoAAOSwWttjvMLe/$_1.JPG,179.99,benchmade,108.59130000000002,226.23187500000003
benchmade gold class 15080-191 crooked river,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/658AAOSwyLtjljbe/$_1.JPG,1100.0,benchmade,909.0,1893.75
benchmade knives gold class mini crooked river 15085-201 axis rare,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/pQEAAOSwQ8ZjtJW4/$_1.JPG,1248.56,benchmade,1038.2472,2163.015
benchmade presidio ii 570 cf-elite handle s30v blade - good condition!,https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/vOoAAOSw~09jti4l/$_1.JPG,155.0,benchmade,86.85,180.9375
benchmade adamas 275 fde d2,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/QnYAAOSwwkZjtySV/$_1.JPG,200.0,benchmade,126.0,262.5
benchmade 940bk-2004 blade hq exclusive scales (only),https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/HO4AAOSwHo9jvd85/$_1.JPG,38.0,benchmade,-14.939999999999998,-31.125
vintage benchmade 705 axis black g10 ats-34 mchenry & williams folding knife,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/E-cAAOSwT79jsNm7/$_1.JPG,395.0,benchmade,295.65,615.9375
benchmade skirmish 630,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/RMMAAOSwseljshLB/$_1.JPG,702.5,benchmade,563.175,1173.28125
benchmade 273fe-2 mini adamas axis flat earth cpm cruwear od green g-10 (d76),https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/CKUAAOSw5etju5Ky/$_1.JPG,199.99,benchmade,125.9913,262.481875
benchmade emerson cqc7,https://i.ebayimg.com/00/s/MTE5NFgxNjAw/z/4iEAAOSwnWhjfl9r/$_1.JPG,300.0,benchmade,213.0,443.75
benchmade 365bk outlast folding knife two blades black cerakoted g10 (ss2097452),https://i.ebayimg.com/00/s/NzU2WDEwMDg=/z/81oAAOSwmj9jt15C/$_1.JPG,305.29,benchmade,217.6023,453.33812500000016
benchmade 575 mini presidio ii,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/rIIAAOSw3Bljlsfe/$_1.JPG,150.0,benchmade,82.5,171.875
benchmade contego 810,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/RoMAAOSwpsJjs3lH/$_1.JPG,320.0,benchmade,230.4,480.0
benchmade bugout 535bk-2002 w/ dlc 20cv & light gray g-10 (bladehq exclusive),https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/7vcAAOSwEtVjurte/$_1.JPG,199.99,benchmade,125.9913,262.481875
discontinued benchmade crawford ats-34 folding knife made in usa binae,https://i.ebayimg.com/00/s/MTA2OVgxNjAw/z/LjIAAOSwBGJjBCFv/$_1.JPG,104.95,benchmade,43.3065,90.221875
"benchmade gold class, bugout knife, #535-191 , damascus #1140",https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/3KEAAOSw-oVjqxB~/$_1.JPG,800.0,benchmade,648.0,1350.0
benchmade bugout *custom*,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/oScAAOSwEmljmMJi/$_1.JPG,500.0,benchmade,387.0,806.25
benchmade elishewitz stryker - rare/discontinued - early production,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/h3IAAOSwnf5jhrTT/$_1.JPG,258.0,benchmade,176.46,367.625
benchmade 940-2 osborne. s30v blade.  reversible pocket clip.,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/5iIAAOSwxGliuKyb/$_1.JPG,183.5,benchmade,111.645,232.59375000000003
vintage benchmade 710hs axis m2hs black g10 mchenry & williams folding knife,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/6PcAAOSwx1djsL1k/$_1.JPG,455.0,benchmade,347.85,724.6875
benchmade tengu flipper gold class knife,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/zKgAAOSw4bxjhaVQ/$_1.JPG,502.5,benchmade,389.175,810.78125
benchmade emerson cqc7b edc knife,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/5DIAAOSwOeJjRIKl/$_1.JPG,325.0,benchmade,234.75,489.0625
benchmade 300-1 axis ball flipper 154cm discontinued knife,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/BV8AAOSwkTNjonTM/$_1.JPG,217.0,benchmade,140.79,293.3125
benchmade griptilian 551sbksn (discontinued),https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/82sAAOSwl9ljtFCN/$_1.JPG,120.0,benchmade,56.40000000000001,117.5
benchmade mini griptilian 556pnk pink grn handle 154cm steel special edition d85,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/lVkAAOSwXO1jvOg8/$_1.JPG,79.99,benchmade,21.59129999999999,44.981874999999974
benchmade d2 bone collector,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/h2EAAOSw23JjrcTA/$_1.JPG,270.0,benchmade,186.9,389.375
