Image,url,title,Field4,price_in_US,shipping_
https://i.ebayimg.com/images/g/AxwAAOSwgjxjqhO7/s-l1200.jpg,https://www.ebay.com/itm/195533660025?nordt=true&orig_cvip=true&rt=nc,1989 NKCA Case XX ROG62070 Large Sleeveboard Jigged Bone Knife,"Jan 5, 2023",$96.00,$10.85
https://i.ebayimg.com/images/g/bFgAAOSwAG5jsKc1/s-l1200.png,https://www.ebay.com/itm/394402505004?nordt=true&orig_cvip=true&rt=nc,VINTAGE CASE XX R61113 SS CENTENNIAL TESTED RED  1989 LARGE COKE BOTTLE KNIFE,"Jan 5, 2023",$66.00,$4.00
https://i.ebayimg.com/images/g/6RUAAOSwLgtjqgJI/s-l1200.jpg,https://www.ebay.com/itm/364095892527?nordt=true&orig_cvip=true&rt=nc,CASE XX DUKE JOHN WAYNE SMOOTH CHESTNUT BONE TINY TOOTHPICK KNIFE 610096 7456 DM,"Jan 5, 2023",$40.00,$5.50
https://i.ebayimg.com/images/g/5tsAAOSwCTZjqgNl/s-l1200.jpg,https://www.ebay.com/itm/364095892825?nordt=true&orig_cvip=true&rt=nc,CASE XX DUKE JOHN WAYNE SMOOTH CHESTNUT BONE TINY TRAPPER KNIFE 62154 7454 DM,"Jan 5, 2023",$40.00,$5.50
https://i.ebayimg.com/images/g/w8gAAOSwc-xjtg6b/s-l1200.jpg,https://www.ebay.com/itm/364100132145?nordt=true&orig_cvip=true&rt=nc,Case  3 Blade Folding Camouflage Knife,"Jan 5, 2023",$35.00,$6.00
https://i.ebayimg.com/images/g/u7kAAOSwsedjrdZF/s-l1200.jpg,https://www.ebay.com/itm/295444835528?nordt=true&orig_cvip=true&rt=nc,CASE 06263 XX POCKET KNIFE.,"Jan 5, 2023",$32.00,$5.00
https://i.ebayimg.com/images/g/XzoAAOSw2lBjtvAJ/s-l1200.jpg,https://www.ebay.com/itm/266071629217?nordt=true&orig_cvip=true&rt=nc,"Case XX USA Muskrat Pocket Knife Brown Vintage, a-x","Jan 5, 2023",$29.99,$5.99
https://i.ebayimg.com/images/g/8v4AAOSwzhhjsD5P/s-l1200.jpg,https://www.ebay.com/itm/134392140329?nordt=true&orig_cvip=true&rt=nc,#623 Pink Camouflage Case XX 059L SS Lockback Knife USA,"Jan 5, 2023",$13.00,$0.00
https://i.ebayimg.com/images/g/c5YAAOSwICpjD5Mw/s-l1200.jpg,https://www.ebay.com/itm/304687396223?nordt=true&orig_cvip=true&rt=nc,CASE XX 6270 SS SLEEVEBOARD LIMITED ED 1 OF 2500 FOLDING KNIFE W/BOX c. 2001,"Jan 5, 2023",$129.99,$0.00
https://i.ebayimg.com/images/g/7hIAAOSwK4hjBCKg/s-l1200.jpg,https://www.ebay.com/itm/266058079317?nordt=true&orig_cvip=true&rt=nc,Case XX 2011 Bone Happy Hanukkah Scrimshaw 6254 Trapper Pocket Knife,"Jan 5, 2023",$54.99,$5.85
https://i.ebayimg.com/images/g/p3AAAOSwJ-NjtrHN/s-l1200.jpg,https://www.ebay.com/itm/364100706232?nordt=true&orig_cvip=true&rt=nc,CASE XX  SOWBELLY KNIFE YELLOW,"Jan 5, 2023",$45.00,$10.25
https://i.ebayimg.com/images/g/A-oAAOSwt4Fjo-o8/s-l1200.jpg,https://www.ebay.com/itm/115608335814?nordt=true&orig_cvip=true&rt=nc,1976 CASE XX JIGGED  RED BONE 6269 HALF CONGRESS KNIFE CARBON STEEL BLADES 4 DOT,"Jan 5, 2023",$140.00,$9.00
https://i.ebayimg.com/images/g/81QAAOSwrbBjqad4/s-l1200.jpg,https://www.ebay.com/itm/404075196566?nordt=true&orig_cvip=true&rt=nc,CASE XX P197-SSP 9 Dot 1981 Shark Tooth Stag Lockback Knife W/Leather Sheath/Box,"Jan 5, 2023",$157.50,$9.00
https://i.ebayimg.com/images/g/4REAAOSws89jtj~H/s-l1200.jpg,https://www.ebay.com/itm/354497274472?nordt=true&orig_cvip=true&rt=nc,VINTAGE CASE XX  2007  SLIMLINE TRAPPER 31048 CV  POCKET KNIFE (NO BOX),"Jan 5, 2023",$25.00,$6.00
https://i.ebayimg.com/images/g/uyIAAOSwJfJjslUG/s-l1200.jpg,https://www.ebay.com/itm/266066474094?nordt=true&orig_cvip=true&rt=nc,Case XX 9254 Star Spangled Banner Trapper Pocket Knife 9254 Corelon Very Rare,"Jan 4, 2023",$47.00,$2.09
https://i.ebayimg.com/images/g/F2wAAOSwK1ljslEk/s-l1200.jpg,https://www.ebay.com/itm/266066462836?nordt=true&orig_cvip=true&rt=nc,Case XX 6207 SS Mini Trapper  The Bill Of Rights USA Pocket Knife Very Rare,"Jan 4, 2023",$42.00,$5.85
https://i.ebayimg.com/images/g/i30AAOSway5jiR~V/s-l1200.jpg,https://www.ebay.com/itm/195499645558?nordt=true&orig_cvip=true&rt=nc,CASE XX KNIVES BLUE  PATRIOT KIRINITE HANDLE TRAPPER KNIFE #10254 USA MADE,"Jan 4, 2023",$42.50,$5.85
https://i.ebayimg.com/images/g/ruYAAOSw7MJjrOLJ/s-l1200.jpg,https://www.ebay.com/itm/234838314007?nordt=true&orig_cvip=true&rt=nc,RARE 1977 CASE XX 52087 SSP SERPENTINE JACK KNIFE SAMBAR INDIA STAG BLUE SCROLL,"Jan 4, 2023",$76.00,$5.30
https://i.ebayimg.com/images/g/hxcAAOSw~yRjrDPx/s-l1200.jpg,https://www.ebay.com/itm/364092720160?nordt=true&orig_cvip=true&rt=nc,"Case XX USA 6318 HP SS P stockman 3-5/8"" 3 Blade stock 1973 knife","Jan 4, 2023",$16.50,$8.95
