Image,url,title,date_sold,price_in_US,shipping_cost,converted_price,profit,ROI,brand,cost,price,shipping,itemID
https://thumbs.ebaystatic.com/pict/4028808969686464_1.jpg,https://www.ebay.com/itm/402880896968?nordt=true&orig_cvip=true&rt=nc,vtg kershaw kai 5100 seki japan lacquer gentleman folding lockback pocket knife,"May 19, 2022",25.95,11.32,37.269999999999996,22.269999999999996,148.46666666666664,kershaw,15.0,$25.64,$11.32,402880896968
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/TTAAAOSw0qRiQlQ3/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/402762371619?nordt=true&orig_cvip=true&rt=nc,vtg kershaw 3110 juniper canyon seki japan 2 blade folding pocket knife,"Jul 31, 2022",29.95,17.66,47.61,32.61,217.4,kershaw,15.0,$29.95,$17.66,402762371619
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/y3oAAOSw25ti~SOO/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/402880896911?nordt=true&orig_cvip=true&rt=nc,vtg kershaw kai 5200 seki japan 3in stainless gent folding lockback pocket knife,"Aug 19, 2022",23.09,0.0,23.09,8.09,53.93333333333333,kershaw,15.0,$23.09,$0.00,402880896911
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/J6UAAOSw~m5gv~gl/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/203487868603?nordt=true&orig_cvip=true&rt=nc,vtg kershaw japan easy rider 2001 good buddy bottle opener folding pocket knife,"Jul 23, 2022",34.95,20.24,55.19,40.19,267.93333333333334,kershaw,15.0,$34.95,$20.24,203487868603
https://thumbs.ebaystatic.com/pict/2032973147426464_1.jpg,https://www.ebay.com/itm/203297314742?nordt=true&orig_cvip=true&rt=nc,vtg kershaw kai 5600 seki japan stainless gentleman scissor folding pocket knife,"May 31, 2022",18.76,0.0,18.76,3.7600000000000016,25.066666666666677,kershaw,15.0,$18.76,$0.00,203297314742
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/h2EAAOSwDkZiaaum/$_1.JPG?set_id=8800005007,https://www.ebay.com/itm/363428232505?nordt=true&orig_cvip=true&rt=nc,vintage kershaw japan easy rider 2004 gentleman 2 blade folding pocket knife,"Aug 1, 2022",34.95,11.21,46.160000000000004,31.160000000000004,207.73333333333338,kershaw,15.0,$34.95,$16.84,363428232505
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/2t4AAOSwkFBgwQfS/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/363429070482?nordt=true&orig_cvip=true&rt=nc,vtg kershaw kai 5700 seki japan gentleman lacquer 2 blade folding pocket knife,"Aug 1, 2022",26.95,0.0,26.95,11.95,79.66666666666666,kershaw,15.0,$26.95,$0.00,363429070482
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/9uUAAOSwbzBihC5U/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/402737200930?nordt=true&orig_cvip=true&rt=nc,vtg kershaw by kai 1040 seki japan wood folding field ii hunter lockback knife,"Aug 26, 2022",117.45,29.47,146.92000000000002,131.92000000000002,879.4666666666668,kershaw,15.0,$117.45,$29.97,402737200930
https://thumbs.ebaystatic.com/pict/4031779385736464_1.jpg,https://www.ebay.com/itm/403177938573?nordt=true&orig_cvip=true&rt=nc,"vtg kershaw kai 2120 macho seki japan bone 4"" folding lockback pocket knife","Mar 11, 2022",112.95,0.0,112.95,97.95,653.0,kershaw,15.0,$112.95,$0.00,403177938573
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/4tkAAOSwF6xi2dm8/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/155089922592?nordt=true&orig_cvip=true&rt=nc,1 kershaw 1660st leek knife camping   airport confiscation dutch     lot1511,"Jul 30, 2022",30.0,6.0,36.0,21.0,140.0,kershaw,15.0,$30.00,$6.00,155089922592
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/3mkAAOSw7U5iklYy/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/402916999815?nordt=true&orig_cvip=true&rt=nc,vtg kershaw kai 5600 seki japan gentleman pearl 3 blade folding pocket knife,"Aug 1, 2022",33.95,9.59,43.540000000000006,28.540000000000006,190.2666666666667,kershaw,15.0,$27.95,$0.00,402916999815
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/CUEAAOSwF19iklHP/$_1.JPG?set_id=880000500F,https://www.ebay.com/itm/203487868602?nordt=true&orig_cvip=true&rt=nc,vtg kershaw kai 5010 seki japan gentleman 2 blade folding pocket pen knife,"Aug 5, 2022",25.75,0.0,25.75,10.75,71.66666666666667,kershaw,15.0,$25.75,$0.00,203487868602
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/7PIAAOSwojZiTzHR/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/334240363096?nordt=true&orig_cvip=true&rt=nc,kershaw 1670blk blur folding pocket knife spring assisted combo liner aluminum,"Jul 8, 2022",41.67,0.0,41.67,26.67,177.8,kershaw,15.0,$41.67,$0.00,334240363096
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/ji8AAOSwrXhirpdI/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/185446319788?nordt=true&orig_cvip=true&rt=nc,kershaw 1660 leek pocket knife stainless plain edge assisted opening ken onion,"Aug 2, 2022",32.24,5.0,37.24,22.240000000000002,148.26666666666668,kershaw,15.0,$32.24,$5.00,185446319788
