Image,Field4,price_in_US,shipping_,title,date_sold,shipping_cost
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$26.00,$0.00,Case XX Stainless 2 Blade Pocket Knife 06263 Used,"Oct 31, 2021",$5.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$63.89,$0.00,US 2015 My 1st Case XX Tested 62154 SS Antique Folding Pocket Knife b,"Oct 31, 2021",$5.53
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$20.50,$0.00,Vintage CASE XX 6318 HE STOCKMAN 3 Blade Pocket Knife - EXACTLY AS FOUND!,"Oct 31, 2021",$5.20
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$67.00,$0.00,US 2014 Case XX Tested 61953L CV Russlock Red Folding Pocket Knife a,"Oct 31, 2021",$5.72
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$55.00,$0.00,US 2014 Case XX Tested 610096 SS Tiny Toothpick Grey Folding Pocket Knife a,"Oct 31, 2021",$5.72
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$174.50,$0.00,"Tony Bose, Case XX, T.B.6339 Sowbelly knife. Barbwire bone. 2002","Oct 31, 2021",$4.50
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$13.65,$0.00,CASE XX USA 22087 KNIFE,"Oct 31, 2021",$4.55
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$45.00,$0.00,CASE XX USA 61165 SS AMBER PEACH SEED JIG BONE POCKET HUNTER JACK KNIFE KNIVES,"Oct 31, 2021",$4.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$47.00,$0.00,�� 1965-69 CASE XX 4100 MELON CITRUS FRUIT TESTER RARE OLD POCKET KNIFE ,"Oct 31, 2021",$5.80
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$15.60,$0.00,Case xx USA 2137 ss Sod Buster JR Folding Pocket Knife,"Oct 31, 2021",$4.50
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$68.00,$0.00,Case XX Jigged Buffalo Horn Doctor's Knife,"Oct 31, 2021",$7.50
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$23.50,$0.00,Case XX Sod-buster JR 3137 CV SS Knife Good used condition,"Oct 31, 2021",$4.50
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$55.00,$0.00,**Rare CASE XX I2109X SS BABY COPPERHEAD Vintage KNIFE VINTAGE Handle Material.,"Oct 31, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$143.75,$0.00,AWESOME RARE QUEEN CUTLERY Q77 Q STEEL NO # 390 GAMEKEEPER FOLDING POCKET KNIFE,"Oct 31, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$270.00,$0.00,HEIRLOOM 2002 CASE XX 8355WH SS SILVER SCRIPT ABALONE SEAHORSE WHITTLER KNIFE,"Oct 31, 2021",$9.20
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$51.00,$0.00,Case XX 610096 SS Tiny Toothpick Folding Knife Stamped 010 on Bolster - EXC!,"Oct 31, 2021",$2.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$25.00,$0.00,Case XX 32087 CV USA~Pen Knife~2 Blades~ Very Nice Everyday User Vintage,"Oct 31, 2021",$4.60
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$38.00,$0.00,Case XX USA 3347HP Yellow Delrin 1965-1969 Stockman Pocket Knife,"Oct 31, 2021",$5.30
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$65.00,$0.00,Case XX 2015 Halloween Moose Knife 6275SS w/tin,"Oct 31, 2021",$5.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$80.00,$0.00,"Case XX SHC SFO 2013 Halloween ""Grim Reaper"" 6254 SS Trapper Knife","Oct 31, 2021",$5.10
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$39.00,$0.00,CASE XX KNIFE MADE IN USA 1979 1 DOT APPALOOSA BONE VINTAGE POCKET,"Oct 31, 2021",$4.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$76.00,$0.00,"Vintage CASE XX U.S.A. 3233 Pocket Knife,10 Dot's,. 2 Blade.  ","Oct 31, 2021",$6.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$70.00,$0.00,Case XX 6250 Elephant Toe Pocket Knife,"Nov 1, 2021",$5.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$38.49,$0.00,Case XX 6207 SS 2 Blade Pocket Knife (Various),"Nov 1, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$37.00,$0.00,Vintage Case XX SS U.S.A. Model P158 LSSP Mako Clip Point Lockback Knife ,"Nov 1, 2021",$9.20
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$125.00,$0.00,Case XX  1978 6347 HP SSP STOCKMAN Knife,"Nov 1, 2021",$5.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$62.00,$0.00,Vintage CASE XX 62048 Red Bone knife w/BOX LQQK !!,"Nov 1, 2021",$2.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$35.00,$0.00,"1940-1964 Case XX Knife, Pattern 2229 1/2, The Tadpole w/Black Synthetic Handles","Nov 1, 2021",$3.18
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$149.00,$0.00,CASE XX 6347 DAMASCUS AMBER BONE STOCKMAN POCKET KNIFE,"Nov 1, 2021",$4.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$30.00,$0.00,Case XX USA #22087 SS Jack Folding Pocket Knife 3 Pin Black Delrin 2 Blades 2017,"Nov 1, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$275.00,$0.00,VINTAGE CASE XX SIDEWINDER WOOD HANDLE LOCK BLADE POCKET KNIFE 9 DOT 1981 BD,"Nov 1, 2021",$5.00
