Image,date_sold,title,price_in_US,shipping_cost,converted_price,profit,ROI,brand,cost,url,price,shipping,itemID
https://thumbs.ebaystatic.com/pict/3246668658866464_1.jpg,"Apr 11, 2022",new nib spyderco para 3 lightweight compression lock folding knife c223pbbk,106.66,0.0,106.66,76.66,255.5333333333333,spyderco,30.0,https://www.ebay.com/itm/324666865886?nordt=true&orig_cvip=true&rt=nc,$107.03,$0.00,324666865886
https://thumbs.ebaystatic.com/pict/3250205338326464_1.jpg,"Apr 18, 2022",new nib spyderco all black karahawk karambit pocket knife g10 handle c170gbbkp,239.99,0.0,239.99,209.99,699.9666666666667,spyderco,30.0,https://www.ebay.com/itm/325020533832?nordt=true&orig_cvip=true&rt=nc,$239.99,$0.00,325020533832
https://i.ebayimg.com/00/s/MTA3NFgxNjAw/z/-BMAAOSwM2diNLsW/$_12.JPG?set_id=880000500F,"Aug 16, 2022",nib new spyderco endura pocket knife plain edge zome green frn handle c10zfpgr,89.66,0.0,89.66,59.66,198.86666666666665,spyderco,30.0,https://www.ebay.com/itm/224893459280?nordt=true&orig_cvip=true&rt=nc,$89.66,$0.00,224893459280
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/FK8AAOSwvYlizHXh/$_57.JPG?set_id=8800005007,"Jul 19, 2022",spyderco delica 4 lockback knife steel blue frn / cpm 20cv blade steel satin,86.0,8.99,94.99,64.99,216.63333333333333,spyderco,30.0,https://www.ebay.com/itm/115461696371?nordt=true&orig_cvip=true&rt=nc,$86.00,$8.99,115461696371
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/ztoAAOSwnFFir1di/$_12.JPG?set_id=880000500F,"Jul 10, 2022",spyderco delica c11fpnbd frn damascus knife - blue,128.0,5.4,133.4,103.4,344.6666666666667,spyderco,30.0,https://www.ebay.com/itm/134150732305?nordt=true&orig_cvip=true&rt=nc,$128.00,$5.40,134150732305
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/lQMAAOSwU1Bi3UPP/$_57.JPG?set_id=880000500F,"Aug 9, 2022",spyderco delica 4  folding pocket knife,56.0,4.0,60.0,30.0,100.0,spyderco,30.0,https://www.ebay.com/itm/144657224181?nordt=true&orig_cvip=true&rt=nc,$56.00,$4.00,144657224181
https://i.ebayimg.com/00/s/ODUwWDc2OA==/z/ZwgAAOSwtVViHNcp/$_57.JPG?set_id=8800005007,"Jul 26, 2022",spyderco black military c36gpcmobk flat ground plain edge g-10 knife s30v,210.0,0.0,210.0,180.0,600.0,spyderco,30.0,https://www.ebay.com/itm/165360128845?nordt=true&orig_cvip=true&rt=nc,$210.00,$0.00,165360128845
https://i.ebayimg.com/00/s/MTYwMFg3NTc=/z/T84AAOSwRtJi9CiC/$_12.JPG?set_id=880000500F,"Aug 21, 2022",spyderco efficient g-10 black folding knife - very nice condition - see photos!,35.0,5.3,40.3,10.299999999999997,34.33333333333332,spyderco,30.0,https://www.ebay.com/itm/165621641708?nordt=true&orig_cvip=true&rt=nc,$35.00,$5.30,165621641708
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/2uEAAOSwLOJiSkU-/$_57.JPG?set_id=8800005007,"Aug 5, 2022",spyderco delica clipit aus8 stainless spyderedge folding pocket knife japan,57.49,4.88,62.370000000000005,32.370000000000005,107.90000000000002,spyderco,30.0,https://www.ebay.com/itm/185378710940?nordt=true&orig_cvip=true&rt=nc,$57.49,$4.88,185378710940
https://i.ebayimg.com/00/s/MTM2N1gxNjAw/z/gPcAAOSwjfxiwdll/$_57.JPG?set_id=8800005007,"Jul 17, 2022",spyderco dragonfly 2 folding pocket knife - black,45.0,4.55,49.55,19.549999999999997,65.16666666666666,spyderco,30.0,https://www.ebay.com/itm/185378754828?nordt=true&orig_cvip=true&rt=nc,$45.00,$4.55,185378754828
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/AwUAAOSwv~xisvjT/$_12.JPG?set_id=880000500F,"Jul 9, 2022","spyderco police model 4 folding knife 4.38"" vg-10 steel blade black frn handle",101.0,5.1,106.1,76.1,253.66666666666666,spyderco,30.0,https://www.ebay.com/itm/185483653840?nordt=true&orig_cvip=true&rt=nc,$101.00,$5.10,185483653840
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/eO0AAOSwl55izgaM/$_12.JPG?set_id=880000500F,"Jul 19, 2022",spyderco shaman pocket knife free shipping,220.5,0.0,220.5,190.5,635.0,spyderco,30.0,https://www.ebay.com/itm/185498596037?nordt=true&orig_cvip=true&rt=nc,$220.50,$0.00,185498596037
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/vtIAAOSw2-Ji8qJR/$_57.JPG?set_id=8800005007,"Aug 24, 2022",black spyderco tenacious g10 liner lock folding knife plain blade,38.99,4.65,43.64,13.64,45.46666666666667,spyderco,30.0,https://www.ebay.com/itm/185532344021?nordt=true&orig_cvip=true&rt=nc,$38.99,$5.15,185532344021
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/sjUAAOSwjaZi7XI4/$_12.JPG?set_id=880000500F,"Aug 21, 2022",(3) spyderco cricket knifes,140.0,10.15,150.15,120.15,400.5,spyderco,30.0,https://www.ebay.com/itm/185539406544?nordt=true&orig_cvip=true&rt=nc,$140.00,$10.15,185539406544
