Image_x,url_x,title,date_sold_x,price_in_US,shipping_cost,converted_price,profit,ROI,brand,cost,Image_y,url_y,date_sold_y,price,shipping,itemID
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/4vkAAOSwyipixat-/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144636653182?nordt=true&orig_cvip=true&rt=nc,case usa 6318 3 blade pocket knife,"Jul 9, 2022",35.0,0.0,35.0,15.0,75.0,case,20.0,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/1gcAAOSwTihjA9AB/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144690024021?nordt=true&orig_cvip=true&rt=nc,"Aug 26, 2022",$35.00,$0.00,144690024021
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/4vkAAOSwyipixat-/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144636653182?nordt=true&orig_cvip=true&rt=nc,case usa 6318 3 blade pocket knife,"Jul 9, 2022",35.0,0.0,35.0,15.0,75.0,case,20.0,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/kH0AAOSwbPhixaq1/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144636650842?nordt=true&orig_cvip=true&rt=nc,"Jul 9, 2022",$35.00,$0.00,144636650842
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/4vkAAOSwyipixat-/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144636653182?nordt=true&orig_cvip=true&rt=nc,case usa 6318 3 blade pocket knife,"Jul 9, 2022",35.0,0.0,35.0,15.0,75.0,case,20.0,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/MMYAAOSwTIZixart/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144636651185?nordt=true&orig_cvip=true&rt=nc,"Jul 9, 2022",$35.00,$0.00,144636651185
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/4vkAAOSwyipixat-/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144636653182?nordt=true&orig_cvip=true&rt=nc,case usa 6318 3 blade pocket knife,"Jul 9, 2022",35.0,0.0,35.0,15.0,75.0,case,20.0,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/4vkAAOSwyipixat-/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144636653182?nordt=true&orig_cvip=true&rt=nc,"Jul 9, 2022",$35.00,$0.00,144636653182
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/4vkAAOSwyipixat-/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144636653182?nordt=true&orig_cvip=true&rt=nc,case usa 6318 3 blade pocket knife,"Jul 9, 2022",35.0,0.0,35.0,15.0,75.0,case,20.0,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/mGIAAOSwH5lixaqD/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144636649811?nordt=true&orig_cvip=true&rt=nc,"Jul 6, 2022",$37.00,$0.00,144636649811
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/1gcAAOSwTihjA9AB/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144690024021?nordt=true&orig_cvip=true&rt=nc,case usa 6318 3 blade pocket knife,"Aug 26, 2022",35.0,0.0,35.0,15.0,75.0,case,20.0,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/1gcAAOSwTihjA9AB/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144690024021?nordt=true&orig_cvip=true&rt=nc,"Aug 26, 2022",$35.00,$0.00,144690024021
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/1gcAAOSwTihjA9AB/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144690024021?nordt=true&orig_cvip=true&rt=nc,case usa 6318 3 blade pocket knife,"Aug 26, 2022",35.0,0.0,35.0,15.0,75.0,case,20.0,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/kH0AAOSwbPhixaq1/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144636650842?nordt=true&orig_cvip=true&rt=nc,"Jul 9, 2022",$35.00,$0.00,144636650842
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/1gcAAOSwTihjA9AB/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144690024021?nordt=true&orig_cvip=true&rt=nc,case usa 6318 3 blade pocket knife,"Aug 26, 2022",35.0,0.0,35.0,15.0,75.0,case,20.0,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/MMYAAOSwTIZixart/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144636651185?nordt=true&orig_cvip=true&rt=nc,"Jul 9, 2022",$35.00,$0.00,144636651185
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/1gcAAOSwTihjA9AB/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144690024021?nordt=true&orig_cvip=true&rt=nc,case usa 6318 3 blade pocket knife,"Aug 26, 2022",35.0,0.0,35.0,15.0,75.0,case,20.0,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/4vkAAOSwyipixat-/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144636653182?nordt=true&orig_cvip=true&rt=nc,"Jul 9, 2022",$35.00,$0.00,144636653182
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/1gcAAOSwTihjA9AB/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144690024021?nordt=true&orig_cvip=true&rt=nc,case usa 6318 3 blade pocket knife,"Aug 26, 2022",35.0,0.0,35.0,15.0,75.0,case,20.0,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/mGIAAOSwH5lixaqD/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/144636649811?nordt=true&orig_cvip=true&rt=nc,"Jul 6, 2022",$37.00,$0.00,144636649811
