Image,date_sold_x,title_x,price_in_US,shipping_cost,converted_price,profit,ROI,brand,cost,url,title_y,date_sold_y,price,shipping,itemID
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Ur0AAOSw4x1iwIW6/$_57.JPG?set_id=8800005007,"Jul 7, 2022",benchmade knife bugout 535 s30v steel benchmade knife bugout 535 s30v steel,86.0,0.0,86.0,41.0,91.11111111111113,benchmade,45.0,https://www.ebay.com/itm/144666029990?nordt=true&orig_cvip=true&rt=nc,benchmade knife bugout 535 s30v steel,"Aug 6, 2022",$92.00,$0.00,144666029990
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Ur0AAOSw4x1iwIW6/$_57.JPG?set_id=8800005007,"Jul 7, 2022",benchmade knife bugout 535 s30v steel benchmade knife bugout 535 s30v steel,86.0,0.0,86.0,41.0,91.11111111111113,benchmade,45.0,https://www.ebay.com/itm/144646176332?nordt=true&orig_cvip=true&rt=nc,benchmade knife bugout 535 s30v steel,"Jul 19, 2022",$110.00,$0.00,144646176332
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Ur0AAOSw4x1iwIW6/$_57.JPG?set_id=8800005007,"Jul 7, 2022",benchmade knife bugout 535 s30v steel benchmade knife bugout 535 s30v steel,86.0,0.0,86.0,41.0,91.11111111111113,benchmade,45.0,https://www.ebay.com/itm/144631826807?nordt=true&orig_cvip=true&rt=nc,benchmade knife bugout 535 s30v steel,"Jul 7, 2022",$86.00,$0.00,144631826807
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Ur0AAOSw4x1iwIW6/$_57.JPG?set_id=8800005007,"Aug 6, 2022",benchmade knife bugout 535 s30v steel benchmade knife bugout 535 s30v steel,92.0,0.0,92.0,47.0,104.44444444444444,benchmade,45.0,https://www.ebay.com/itm/144666029990?nordt=true&orig_cvip=true&rt=nc,benchmade knife bugout 535 s30v steel,"Aug 6, 2022",$92.00,$0.00,144666029990
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Ur0AAOSw4x1iwIW6/$_57.JPG?set_id=8800005007,"Aug 6, 2022",benchmade knife bugout 535 s30v steel benchmade knife bugout 535 s30v steel,92.0,0.0,92.0,47.0,104.44444444444444,benchmade,45.0,https://www.ebay.com/itm/144646176332?nordt=true&orig_cvip=true&rt=nc,benchmade knife bugout 535 s30v steel,"Jul 19, 2022",$110.00,$0.00,144646176332
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Ur0AAOSw4x1iwIW6/$_57.JPG?set_id=8800005007,"Aug 6, 2022",benchmade knife bugout 535 s30v steel benchmade knife bugout 535 s30v steel,92.0,0.0,92.0,47.0,104.44444444444444,benchmade,45.0,https://www.ebay.com/itm/144631826807?nordt=true&orig_cvip=true&rt=nc,benchmade knife bugout 535 s30v steel,"Jul 7, 2022",$86.00,$0.00,144631826807
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/8J8AAOSwKRBi00HU/$_12.JPG?set_id=880000500F,"Jul 17, 2022",benchmade 556 mini griptilian folding pocket knife 154cmbenchmade 556 mini griptilian folding pocket knife 154cm,70.69,4.8,75.49,30.489999999999995,67.75555555555555,benchmade,45.0,https://www.ebay.com/itm/144648663319?nordt=true&orig_cvip=true&rt=nc,benchmade 556 mini griptilian folding pocket knife 154cm,"Jul 17, 2022",$70.69,$4.80,144648663319
https://i.ebayimg.com/00/s/NzAzWDc0Nw==/z/6U0AAOSw~KNi-CXJ/$_12.JPG?set_id=880000500F,"Aug 21, 2022",benchmade crooked river custom knifebenchmade crooked river custom knife,205.0,5.5,210.5,165.5,367.77777777777777,benchmade,45.0,https://www.ebay.com/itm/155118023851?nordt=true&orig_cvip=true&rt=nc,benchmade crooked river custom knife,"Aug 21, 2022",$205.00,$5.50,155118023851
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/PZAAAOSwpxZiw13S/$_12.JPG?set_id=880000500F,"Jul 11, 2022",benchmade 732 ares axis folding knife rare discontinuedbenchmade 732 ares axis folding knife rare discontinued,110.0,3.8,113.8,68.8,152.88888888888889,benchmade,45.0,https://www.ebay.com/itm/165562021026?nordt=true&orig_cvip=true&rt=nc,benchmade 732 ares axis folding knife rare discontinued,"Jul 11, 2022",$110.00,$3.80,165562021026
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/~hEAAOSwZ39iw2Px/$_12.JPG?set_id=880000500F,"Jul 11, 2022",benchmade 595 mini boost folding knifebenchmade 595 mini boost folding knife,90.0,3.8,93.8,48.8,108.44444444444444,benchmade,45.0,https://www.ebay.com/itm/165562065696?nordt=true&orig_cvip=true&rt=nc,benchmade 595 mini boost folding knife,"Jul 11, 2022",$90.00,$3.80,165562065696
