Image_x,date_sold_x,title,price_in_US,shipping_cost,converted_price,profit,ROI,brand,cost,Image_y,url,date_sold_y,price,shipping,itemID
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/vjIAAOSwQgJiwGnX/$_57.JPG?set_id=8800005007,"Jul 3, 2022",spyderco aus 6 lockback folding pocket knife made in seki city japan,50.0,5.5,55.5,25.5,85.0,spyderco,30.0,https://i.ebayimg.com/00/s/ODE5WDYwNw==/z/vz4AAOSwhIBiugR~/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/314052610711?nordt=true&orig_cvip=true&rt=nc,"Jul 4, 2022",$38.00,$5.00,314052610711
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/vjIAAOSwQgJiwGnX/$_57.JPG?set_id=8800005007,"Jul 3, 2022",spyderco aus 6 lockback folding pocket knife made in seki city japan,50.0,5.5,55.5,25.5,85.0,spyderco,30.0,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/vjIAAOSwQgJiwGnX/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/284881214104?nordt=true&orig_cvip=true&rt=nc,"Jul 3, 2022",$50.00,$5.50,284881214104
https://i.ebayimg.com/00/s/ODE5WDYwNw==/z/vz4AAOSwhIBiugR~/$_12.JPG?set_id=880000500F,"Jul 4, 2022",spyderco aus 6 lockback folding pocket knife made in seki city japan,38.0,5.0,43.0,13.0,43.33333333333334,spyderco,30.0,https://i.ebayimg.com/00/s/ODE5WDYwNw==/z/vz4AAOSwhIBiugR~/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/314052610711?nordt=true&orig_cvip=true&rt=nc,"Jul 4, 2022",$38.00,$5.00,314052610711
https://i.ebayimg.com/00/s/ODE5WDYwNw==/z/vz4AAOSwhIBiugR~/$_12.JPG?set_id=880000500F,"Jul 4, 2022",spyderco aus 6 lockback folding pocket knife made in seki city japan,38.0,5.0,43.0,13.0,43.33333333333334,spyderco,30.0,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/vjIAAOSwQgJiwGnX/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/284881214104?nordt=true&orig_cvip=true&rt=nc,"Jul 3, 2022",$50.00,$5.50,284881214104
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/FK8AAOSwvYlizHXh/$_57.JPG?set_id=8800005007,"Jul 19, 2022",spyderco delica 4 lockback knife steel blue frn / cpm 20cv blade steel satin,86.0,8.99,94.99,64.99,216.63333333333333,spyderco,30.0,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/FK8AAOSwvYlizHXh/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/115461696371?nordt=true&orig_cvip=true&rt=nc,"Jul 19, 2022",$86.00,$8.99,115461696371
https://thumbs.ebaystatic.com/pict/1340849631306464_1.jpg,"Apr 14, 2022",spyderco spydiechef ti framelock knife - grey,175.0,5.25,180.25,150.25,500.83333333333337,spyderco,30.0,https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/QIoAAOSwRVBjF4Zk/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/304621174141?nordt=true&orig_cvip=true&rt=nc,"Sep 15, 2022",$179.00,$0.00,304621174141
https://thumbs.ebaystatic.com/pict/1340849631306464_1.jpg,"Apr 14, 2022",spyderco spydiechef ti framelock knife - grey,175.0,5.25,180.25,150.25,500.83333333333337,spyderco,30.0,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/vbIAAOSwptdjF77p/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/175407162345?nordt=true&orig_cvip=true&rt=nc,"Sep 14, 2022",$185.50,$5.50,175407162345
https://thumbs.ebaystatic.com/pict/1340849631306464_1.jpg,"Apr 14, 2022",spyderco spydiechef ti framelock knife - grey,175.0,5.25,180.25,150.25,500.83333333333337,spyderco,30.0,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Ii4AAOSwzxdjDaDf/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/185558006475?nordt=true&orig_cvip=true&rt=nc,"Sep 5, 2022",$192.50,$5.15,185558006475
https://thumbs.ebaystatic.com/pict/1340849631306464_1.jpg,"Apr 14, 2022",spyderco spydiechef ti framelock knife - grey,175.0,5.25,180.25,150.25,500.83333333333337,spyderco,30.0,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/e0MAAOSwyKJi~Y-n/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/314111774856?nordt=true&orig_cvip=true&rt=nc,"Aug 17, 2022",$70.00,$0.00,314111774856
https://thumbs.ebaystatic.com/pict/1340849631306464_1.jpg,"Apr 14, 2022",spyderco spydiechef ti framelock knife - grey,175.0,5.25,180.25,150.25,500.83333333333337,spyderco,30.0,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Ot8AAOSwc6Fi7wH9/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/314099996399?nordt=true&orig_cvip=true&rt=nc,"Aug 13, 2022",$185.50,$5.99,314099996399
