Image,url,title,Field4,price_in_US,shipping_
https://i.ebayimg.com/images/g/af4AAOSw6-pjdQry/s-l1200.jpg,https://www.ebay.com/itm/255830998748?nordt=true&orig_cvip=true&rt=nc,Buck Knives USA 759 Metro black Folding Pocket Knife with Bottle Opener,"Jan 5, 2023",$18.01,$4.99
https://i.ebayimg.com/images/g/SCUAAOSwYTxjrePp/s-l1200.jpg,https://www.ebay.com/itm/364093974164?nordt=true&orig_cvip=true&rt=nc,Buck / Tops  CSAR-T Liasion Knife,"Jan 5, 2023",$113.50,$6.00
https://i.ebayimg.com/images/g/tG4AAOSwOUpjreOg/s-l1200.jpg,https://www.ebay.com/itm/144877552634?nordt=true&orig_cvip=true&rt=nc,Buck 501 pocket knife with sheath. ,"Jan 5, 2023",$31.00,$12.60
https://i.ebayimg.com/images/g/ZQcAAOSwkTRjrVZ8/s-l1200.jpg,https://www.ebay.com/itm/234839177111?nordt=true&orig_cvip=true&rt=nc,"9 Lot Roy Rodgers & Trigger, Buck 301V USA Pocket folding Knives Chevrolet Knife","Jan 5, 2023",$44.77,$9.00
https://i.ebayimg.com/images/g/lk8AAOSw~RNjsEEI/s-l1200.jpg,https://www.ebay.com/itm/374435013504?nordt=true&orig_cvip=true&rt=nc,#722 White 2020 Buck 722 Spitfire USA Lockback Knife W/Clip and Thumb Stud,"Jan 5, 2023",$79.00,$0.00
https://i.ebayimg.com/images/g/GWoAAOSwjD1jsDUu/s-l1200.jpg,https://www.ebay.com/itm/134392101237?nordt=true&orig_cvip=true&rt=nc,#619 Wood Handled 2021 Buck 346 Vantage Avid Large LinerLock Knife Thumb Stud,"Jan 5, 2023",$41.00,$0.00
https://i.ebayimg.com/images/g/negAAOSw0~ljrbNF/s-l1200.jpg,https://www.ebay.com/itm/266062019868?nordt=true&orig_cvip=true&rt=nc,BUCK USA 560 TITANIUM FINGER GROOVE LOCKBACK POCKET KNIFE RARE USED.,"Jan 5, 2023",$98.00,$5.45
https://i.ebayimg.com/images/g/OxsAAOSwOyBjtuZ5/s-l1200.jpg,https://www.ebay.com/itm/354498916115?nordt=true&orig_cvip=true&rt=nc,Buck 112 Ranger 2 DOT Folding Knife with Leather Sheath 74 - 80',"Jan 5, 2023",$20.25,$9.75
https://i.ebayimg.com/images/g/NNEAAOSwOyBjsFBx/s-l1200.jpg,https://www.ebay.com/itm/255905090931?nordt=true&orig_cvip=true&rt=nc,Used Buck 285 Pocket Knife,"Jan 5, 2023",$5.50,$4.25
https://i.ebayimg.com/images/g/HbYAAOSwlJBjRekw/s-l1200.jpg,https://www.ebay.com/itm/334592516958?nordt=true&orig_cvip=true&rt=nc,BUCK 285 BANTAM BLW LOCKBACK USA KNIFE W/POCKET CLIP BLACK,"Jan 5, 2023",$12.00,$5.50
https://i.ebayimg.com/images/g/FnUAAOSweU9jtkXv/s-l1200.jpg,https://www.ebay.com/itm/334690997731?nordt=true&orig_cvip=true&rt=nc,Buck Knife 307,"Jan 5, 2023",$57.00,$8.27
https://i.ebayimg.com/images/g/00EAAOSwSl5jtX2l/s-l1200.jpg,https://www.ebay.com/itm/204206587664?nordt=true&orig_cvip=true&rt=nc,Vintage Early Buck 110 Lockback Folding Pocket Knife. No Dots. (24),"Jan 5, 2023",$60.00,$5.50
https://i.ebayimg.com/images/g/t6YAAOSwsFhjtXzs/s-l1200.jpg,https://www.ebay.com/itm/204206587481?nordt=true&orig_cvip=true&rt=nc,Very Early Buck 110 Lockback Folding Pocket Knife No Dot. (23),"Jan 5, 2023",$80.00,$5.50
