Image,url,title,date_sold,price_in_US,shipping_
https://i.ebayimg.com/images/g/upYAAOSwOAtjrP8u/s-l1200.jpg,https://www.ebay.com/itm/165857502047?nordt=true&orig_cvip=true&rt=nc,Columbia River CRKT M16-01S Carson Design Frame Lock Knife  Excellent Condition!,"Jan 4, 2023",$18.31,$5.50
https://i.ebayimg.com/images/g/iqEAAOSwVc5jrPzK/s-l1200.jpg,https://www.ebay.com/itm/134388689614?nordt=true&orig_cvip=true&rt=nc,CRKT Ken Onion RIPPLE K415KXP KNIFE,"Jan 4, 2023",$29.00,$6.00
https://i.ebayimg.com/images/g/jOMAAOSw96NjUB41/s-l1200.jpg,https://www.ebay.com/itm/314195332794?nordt=true&orig_cvip=true&rt=nc,CRKT M16-14ZLEK Kit Carson Design LinerLock Combo Tanto Blade Pocket Knife,"Jan 4, 2023",$40.00,$6.10
https://i.ebayimg.com/images/g/Ew8AAOSw5KFjl-V9/s-l1200.png,https://www.ebay.com/itm/374430891200?nordt=true&orig_cvip=true&rt=nc,CRKT M16-10KZ Carson Design Black Folding Blade Pocket Knife,"Jan 4, 2023",$15.00,$4.60
https://i.ebayimg.com/images/g/rA0AAOSwyHNjr5BK/s-l1200.jpg,https://www.ebay.com/itm/275599496893?nordt=true&orig_cvip=true&rt=nc,NM COLUMBIA RIVER KNIFE TOOLS CRKT ROGERS 7096 CEO SLIM LOCKBACK FOLDING POCKET,"Jan 4, 2023",$29.00,$5.90
https://i.ebayimg.com/images/g/vXAAAOSwluZjr4~I/s-l1200.jpg,https://www.ebay.com/itm/234841077245?nordt=true&orig_cvip=true&rt=nc,NM CRKT COLUMBIA RIVER MJ LERCH 3802K LCK+ FLIPPER LOCKBACK FOLDING KNIFE KNIVES,"Jan 4, 2023",$24.50,$5.45
https://i.ebayimg.com/images/g/NugAAOSwxr5jtaOV/s-l1200.jpg,https://www.ebay.com/itm/275605162156?nordt=true&orig_cvip=true&rt=nc,"CRKT Septimo Black Folding Knife 3.625"" 8CR13Mov - Excellent condition!","Jan 4, 2023",$28.00,$4.50
https://i.ebayimg.com/images/g/CZgAAOSwiEpiwOT-/s-l1200.jpg,https://www.ebay.com/itm/265763337491?nordt=true&orig_cvip=true&rt=nc,"7.5” Black CRKT Ignitor Serrated Folding Pocket Knife, Model 6865","Jan 4, 2023",$33.00,$0.00
https://i.ebayimg.com/images/g/KPAAAOSwZQxjrtjF/s-l1200.jpg,https://www.ebay.com/itm/134390677217?nordt=true&orig_cvip=true&rt=nc,#611 Black CRKT M 16-12Z Serrated Tanto Stainless LinerLock Knife,"Jan 4, 2023",$20.50,$0.00
https://i.ebayimg.com/images/g/hLAAAOSwLv5jpOUI/s-l1200.jpg,https://www.ebay.com/itm/125692629222?nordt=true&orig_cvip=true&rt=nc,CRKT Jettison Carter Design Steel Silver EDC Flip Knife! ,"Jan 4, 2023",$19.50,$38.00
