Image,url,date_sold,price_in_US,shipping_cost,title,converted_price,profit,ROI,brand,cost
https://i.ebayimg.com/images/g/c0gAAOSwaF9jr48n/s-l1200.jpg,https://www.ebay.com/itm/304755594896?nordt=true&orig_cvip=true&rt=nc,2023-01-05,30.0,6.0,"''crkt mah-hawk knife, used, d2 blade, some scratches, never resharpenedcrkt mah-hawk knife, used, d2 blade, some scratches, never resharpened",36.0,13.32,88.8,crkt,15.0
https://i.ebayimg.com/images/g/FJ4AAOSwO6tjsO0D/s-l1200.jpg,https://www.ebay.com/itm/314299725640?nordt=true&orig_cvip=true&rt=nc,2023-01-05,20.5,14.85,''columbia river knife tools crkt m16-10ksf tanto edc psk lockback survival knivescolumbia river knife tools crkt m16-10ksf tanto edc psk lockback survival knives,35.35,12.7545,85.03,crkt,15.0
https://i.ebayimg.com/images/g/vp0AAOSw4GljnlPk/s-l1200.jpg,https://www.ebay.com/itm/234844960535?nordt=true&orig_cvip=true&rt=nc,2023-01-05,22.27,5.0,''crkt ignitor folding knife crkt ignitor folding knife,27.27,5.724899999999998,38.16599999999999,crkt,15.0
https://i.ebayimg.com/images/g/KfYAAOSwN6tjqkUm/s-l1200.jpg,https://www.ebay.com/itm/195533822175?nordt=true&orig_cvip=true&rt=nc,2023-01-05,10.0,6.0,''crkt m16-10ks pocket knife carson design folding tanto combo edge framelockcrkt m16-10ks pocket knife carson design folding tanto combo edge framelock,16.0,-4.08,-27.200000000000003,crkt,15.0
https://i.ebayimg.com/images/g/QMAAAOSwicNjkfWe/s-l1200.jpg,https://www.ebay.com/itm/266056720567?nordt=true&orig_cvip=true&rt=nc,2023-01-05,15.99,3.99,''crkt wrangler lockback small  columbia   folding pocket knifecrkt wrangler lockback small  columbia   folding pocket knife,19.98,-0.6174,-4.116,crkt,15.0
https://i.ebayimg.com/images/g/8nEAAOSwIP1jtv1n/s-l1200.jpg,https://www.ebay.com/itm/115663983380?nordt=true&orig_cvip=true&rt=nc,2023-01-05,42.0,10.4,''knife lot - crkt ontario roper esee/brkknife lot - crkt ontario roper esee/brk,52.4,27.588,183.92000000000002,crkt,15.0
https://i.ebayimg.com/images/g/lXQAAOSwXoRjZrp4/s-l1200.png,https://www.ebay.com/itm/165762541662?nordt=true&orig_cvip=true&rt=nc,2023-01-05,32.0,4.04,''crkt 6405 knife steigerwalt daedalus gentlemen's folder winged mother of pearlcrkt 6405 knife steigerwalt daedalus gentlemen's folder winged mother of pearl,36.04,13.354799999999997,89.03199999999998,crkt,15.0
https://i.ebayimg.com/images/g/qdoAAOSwMntjszMz/s-l1200.jpg,https://www.ebay.com/itm/165864908026?nordt=true&orig_cvip=true&rt=nc,2023-01-05,15.0,0.0,''crkt pocket knife m21-10ksf carson design pocket knifecrkt pocket knife m21-10ksf carson design pocket knife,15.0,-4.949999999999999,-32.99999999999999,crkt,15.0
https://i.ebayimg.com/images/g/jXYAAOSwAz9iwg98/s-l1200.jpg,https://www.ebay.com/itm/255612807921?nordt=true&orig_cvip=true&rt=nc,2023-01-05,16.0,4.99,"''crkt m16-01ks pocket knife ,   #gcrkt m16-01ks pocket knife ,   #g",20.990000000000002,0.2613000000000021,1.742000000000014,crkt,15.0
https://i.ebayimg.com/images/g/E6QAAOSwftRjhgcL/s-l1200.jpg,https://www.ebay.com/itm/144832524344?nordt=true&orig_cvip=true&rt=nc,2023-01-05,16.0,0.0,''crkt m16-10ks pocket knife frame lock combo edge tanto blade crkt m16-10ks pocket knife frame lock combo edge tanto blade,16.0,-4.08,-27.200000000000003,crkt,15.0
https://i.ebayimg.com/images/g/1l4AAOSwHPxjCZwC/s-l1200.jpg,https://www.ebay.com/itm/295277867145?nordt=true&orig_cvip=true&rt=nc,2023-01-05,19.99,0.0,''crkt carson design m16-10ksf pocket knifecrkt carson design m16-10ksf pocket knife,19.99,-0.6087000000000025,-4.058000000000017,crkt,15.0
https://i.ebayimg.com/images/g/ibcAAOSwOaFjn~US/s-l1200.png,https://www.ebay.com/itm/295450723961?nordt=true&orig_cvip=true&rt=nc,2023-01-05,23.0,5.85,''crkt spring assist liner lock knife ignitor-t 6860 pocket clipcrkt spring assist liner lock knife ignitor-t 6860 pocket clip,28.85,7.099500000000003,47.33000000000002,crkt,15.0
https://i.ebayimg.com/images/g/Tm8AAOSwgy9jp2oS/s-l1200.jpg,https://www.ebay.com/itm/204195860109?nordt=true&orig_cvip=true&rt=nc,2023-01-04,17.99,0.0,''crkt m16-10ks carson design black folding blade pocket knife columbia river icrkt m16-10ks carson design black folding blade pocket knife columbia river i,17.99,-2.348700000000001,-15.658000000000005,crkt,15.0
https://i.ebayimg.com/images/g/Wp8AAOSw4f5jbCG6/s-l1200.jpg,https://www.ebay.com/itm/265981769717?nordt=true&orig_cvip=true&rt=nc,2023-01-04,25.49,0.0,''crkt m16-03z carson design folding tactical knife nice!!crkt m16-03z carson design folding tactical knife nice!!,25.49,4.176299999999998,27.841999999999985,crkt,15.0
https://i.ebayimg.com/images/g/UVMAAOSwY7RjrQR9/s-l1200.jpg,https://www.ebay.com/itm/204199524330?nordt=true&orig_cvip=true&rt=nc,2023-01-04,37.0,0.0,''crkt pilar knife. used but in excellent conditioncrkt pilar knife. used but in excellent condition,37.0,14.189999999999998,94.59999999999998,crkt,15.0
https://i.ebayimg.com/images/g/YAsAAOSw2DdjAsBq/s-l1200.jpg,https://www.ebay.com/itm/125476050751?nordt=true&orig_cvip=true&rt=nc,2023-01-04,55.0,0.0,''crkt apache ii ltd. edition ats34 liner lock knife discontinuedcrkt apache ii ltd. edition ats34 liner lock knife discontinued,55.0,29.85,199.0,crkt,15.0
https://i.ebayimg.com/images/g/t5YAAOSwBXVjtNpx/s-l1200.png,https://www.ebay.com/itm/285097563529?nordt=true&orig_cvip=true&rt=nc,2023-01-04,65.0,5.9,"''crkt the natural 2 spring assisted knife jig bone  3.25""  7080j discontuedcrkt the natural 2 spring assisted knife jig bone  3.25""  7080j discontued",70.9,43.68300000000001,291.22,crkt,15.0
https://i.ebayimg.com/images/g/upYAAOSwOAtjrP8u/s-l1200.jpg,https://www.ebay.com/itm/165857502047?nordt=true&orig_cvip=true&rt=nc,2023-01-04,18.31,5.5,''columbia river crkt m16-01s carson design frame lock knife  excellent condition!columbia river crkt m16-01s carson design frame lock knife  excellent condition!,23.81,2.7147000000000006,18.098000000000003,crkt,15.0
