Image,url,title,Field4,price_in_US,shipping_
https://i.ebayimg.com/images/g/PNoAAOSwEVZjrMRX/s-l1200.jpg,https://www.ebay.com/itm/134388443133?nordt=true&orig_cvip=true&rt=nc,Case Stag Pheasant Sheath Knife 523-3 1/4 SSP 1979 Issue Pheasant Blade Etch NR,"Jan 4, 2023",$165.00,$9.95
https://i.ebayimg.com/images/g/dGMAAOSwdrNjrJob/s-l1200.jpg,https://www.ebay.com/itm/404079041311?nordt=true&orig_cvip=true&rt=nc,Case Tested XX Genuine Stag Whittler Knife 1920-1940 Era Rare Old Knife NR,"Jan 4, 2023",$203.50,$5.95
https://i.ebayimg.com/images/g/AT8AAOSwpPBjrHky/s-l1200.jpg,https://www.ebay.com/itm/134387986266?nordt=true&orig_cvip=true&rt=nc,Case Stag Eisenhower Knife 2000 Issue Fine India Stag With Eisenhower Etch! NR,"Jan 4, 2023",$72.00,$5.95
https://i.ebayimg.com/images/g/kwQAAOSw5BJiYan4/s-l1200.jpg,https://www.ebay.com/itm/265655541234?nordt=true&orig_cvip=true&rt=nc,2002 Case XX 6111 1/2L SS Cranberry Script Bone Cheetah Knife  05430,"Jan 4, 2023",$100.00,$5.45
https://i.ebayimg.com/images/g/AVkAAOSwEwJjojqa/s-l1200.jpg,https://www.ebay.com/itm/125673491766?nordt=true&orig_cvip=true&rt=nc,Vtg Case XX Texas Toothpick pocket knife 61093 (made between 1940-1964),"Jan 4, 2023",$99.00,$5.35
https://i.ebayimg.com/images/g/cTEAAOSwReJjtgaX/s-l1200.jpg,https://www.ebay.com/itm/354496815183?nordt=true&orig_cvip=true&rt=nc,Case XX USA John Wayne The Duke Ltd Ed. | Trapper Pocket Knife No. 1747,"Jan 4, 2023",$64.00,$11.25
https://i.ebayimg.com/images/g/GIQAAOSwPWhjq~yD/s-l1200.jpg,https://www.ebay.com/itm/155330478839?nordt=true&orig_cvip=true&rt=nc,Case & Sons XX SS USA 6 Dot (1984) 2159 LSSP Lockback Knife & Pouch in Box,"Jan 4, 2023",$50.00,$0.00
https://i.ebayimg.com/images/g/kY4AAOSwsuJi2eO6/s-l1200.jpg,https://www.ebay.com/itm/394173183232?nordt=true&orig_cvip=true&rt=nc,USED case knife Ruger Russlock 61953L SS MADE IN USA,"Jan 4, 2023",$114.99,$0.00
https://i.ebayimg.com/images/g/0vUAAOSwJ-tjZsUc/s-l1200.jpg,https://www.ebay.com/itm/374339462461?nordt=true&orig_cvip=true&rt=nc,Case Ducks Unlimited 1991 Pen Knife DU279 SS (Read DESCRIPTION) ,"Jan 4, 2023",$14.99,$5.30
https://i.ebayimg.com/images/g/llEAAOSwrOdjtEwH/s-l1200.png,https://www.ebay.com/itm/334688821231?nordt=true&orig_cvip=true&rt=nc,Case XX USA 3220 CV Folding Pocket Knife 2 Blade Yellow Synthetic Handle,"Jan 4, 2023",$31.48,$0.00
https://i.ebayimg.com/images/g/eq0AAOSwjQpjNdBy/s-l1200.jpg,https://www.ebay.com/itm/204105795421?nordt=true&orig_cvip=true&rt=nc,vintage buck 110 knife w/case,"Jan 4, 2023",$59.99,$9.99
https://i.ebayimg.com/images/g/ijEAAOSwluZjtEgj/s-l1200.png,https://www.ebay.com/itm/334688794730?nordt=true&orig_cvip=true&rt=nc,Case XX 6232 1965-69 Vtg. Texas Jack Folding Pocket Knife 2 Blades Bone Handle,"Jan 4, 2023",$58.48,$0.00
https://i.ebayimg.com/images/g/re4AAOSwv-tjrG2o/s-l1200.jpg,https://www.ebay.com/itm/175552364525?nordt=true&orig_cvip=true&rt=nc,Case XX Small Brown Delrin Handle Folding Pocket Pen Knife 6233,"Jan 4, 2023",$36.00,$0.00
https://i.ebayimg.com/images/g/gh4AAOSw33limQN2/s-l1200.jpg,https://www.ebay.com/itm/144584137802?nordt=true&orig_cvip=true&rt=nc,CASE #6333 SS-  3 BLADE STAINLESS STEEL POCKET KNIFE  - EXCELLENT COND.,"Jan 4, 2023",$42.24,$4.95
https://i.ebayimg.com/images/g/f84AAOSwbCRjtY5U/s-l1200.jpg,https://www.ebay.com/itm/115662837753?nordt=true&orig_cvip=true&rt=nc,case sidewinder knife,"Jan 4, 2023",$165.00,$12.50
https://i.ebayimg.com/images/g/XykAAOSwjXRjskd3/s-l1200.jpg,https://www.ebay.com/itm/125695061534?nordt=true&orig_cvip=true&rt=nc,Case Amber Bone Medium Stockman 6318 SS Pocket Knife “As-Is” Used,"Jan 4, 2023",$9.95,$5.45
https://i.ebayimg.com/images/g/6tUAAOSwwY1jpiRM/s-l1200.jpg,https://www.ebay.com/itm/325474444540?nordt=true&orig_cvip=true&rt=nc,Vintage mother of pearl Pikes Peak pocket knife,"Jan 4, 2023",$9.00,$0.00
https://i.ebayimg.com/images/g/PkUAAOSwlWFjpiS6/s-l1200.jpg,https://www.ebay.com/itm/325474447755?nordt=true&orig_cvip=true&rt=nc,Vintage Yellowstone  pocket knife,"Jan 4, 2023",$9.00,$0.00
https://i.ebayimg.com/images/g/lO0AAOSwO~FjbITT/s-l1200.jpg,https://www.ebay.com/itm/285093397731?nordt=true&orig_cvip=true&rt=nc,Custom CASE XX Trapper Knife Painted Pony Michael Prater 6/25 LE Black 3254,"Jan 4, 2023",$182.00,$7.99
https://i.ebayimg.com/images/g/3ocAAOSwx19jrw1h/s-l1200.jpg,https://www.ebay.com/itm/404082387277?nordt=true&orig_cvip=true&rt=nc,CASE KNIFE - LARGE MOOSE 1974 (6 DOTS) 6275 SP - NICE KNIFE,"Jan 4, 2023",$90.00,$5.90
https://i.ebayimg.com/images/g/xJoAAOSwJkxjdaUD/s-l1200.jpg,https://www.ebay.com/itm/394337897660?nordt=true&orig_cvip=true&rt=nc,Case XX Stockman Amber Bone Folding Pocket Knife 6318 ,"Jan 3, 2023",$39.99,$0.00
https://i.ebayimg.com/images/g/HUIAAOSwfxpjq9j9/s-l1200.jpg,https://www.ebay.com/itm/195535294278?nordt=true&orig_cvip=true&rt=nc,Case 62031 LHR Hawkbill Electricians Knife,"Jan 3, 2023",$46.00,$5.45
https://i.ebayimg.com/images/g/OokAAOSw2ztjq2~6/s-l1200.png,https://www.ebay.com/itm/364092173113?nordt=true&orig_cvip=true&rt=nc,Case XX Sod Buster Orange Handle 4137 SS Stainless Skinner Folding Knife 80502,"Jan 3, 2023",$25.00,$5.50
https://i.ebayimg.com/images/g/XnEAAOSwpP1jYHsZ/s-l1200.jpg,https://www.ebay.com/itm/165855728464?nordt=true&orig_cvip=true&rt=nc,Case Ducks Unlimited 1991 Pen Knife DU279 SS in box ,"Jan 3, 2023",$49.00,$5.00
https://i.ebayimg.com/images/g/4yUAAOSwZ~ljomlU/s-l1200.png,https://www.ebay.com/itm/275596135950?nordt=true&orig_cvip=true&rt=nc,3 Promotional knives Ambassador BRIT-Knife KENT All USA made  READ INFO PICTURES,"Jan 3, 2023",$7.50,$5.50
https://i.ebayimg.com/images/g/z2UAAOSwrP5jq1cJ/s-l1200.jpg,https://www.ebay.com/itm/134386440803?nordt=true&orig_cvip=true&rt=nc,Case Tiny Trapper Knife 2004 SFO Boysenberry Bone Only 350 Made Great EDC! NR,"Jan 3, 2023",$73.26,$5.95
https://i.ebayimg.com/images/g/qFAAAOSwViVjq6yz/s-l1200.jpg,https://www.ebay.com/itm/266059963459?nordt=true&orig_cvip=true&rt=nc,RARE 2010 CASE DEALER DISPLAY KNIFE Sign NEVER USED Extremely Rare #762,"Jan 3, 2023",$485.00,$30.00
https://i.ebayimg.com/images/g/GnYAAOSwB51jq0Mx/s-l1200.jpg,https://www.ebay.com/itm/404077207798?nordt=true&orig_cvip=true&rt=nc,Case Hawkbill Knife 2001 Issue Jigged Delrin 61011 SS Great Working Cutlery! NR,"Jan 3, 2023",$73.00,$5.95
https://i.ebayimg.com/images/g/o6QAAOSwb4tjqtWF/s-l1200.jpg,https://www.ebay.com/itm/385317176883?nordt=true&orig_cvip=true&rt=nc,Case Rattlesnake Bone Damascus Trapper Knife,"Jan 3, 2023",$187.00,$6.50
