Image,title,date_sold,avg_price,avg_shipping
https://thumbs.ebaystatic.com/pict/1153539536896464_1.jpg,Case XX Lockback Pocket Knife - Patriot Kirinite - 101225L SS,"Apr 29, 2022",$67.88,$9.10
https://thumbs.ebaystatic.com/pict/1153565519216464_1.jpg,DISCONTINUED CASE XX 1996 RED STAG CANOE KNIFE  R52131 SS,"Apr 24, 2022",$225.00,$9.85
https://thumbs.ebaystatic.com/pict/1153567839826464_1.jpg,2006 CASE XX 64052 CONGRESS KNIFE 10th ANNIVERSARY PW SERIES BERMUDA GREEN BONE,"May 16, 2022",$125.00,$3.38
https://thumbs.ebaystatic.com/pict/1153593304126464_1.jpg,1983 CASE XX STAG 2nd cut series PEANUT 2 blade folding Pocket Knife,"May 10, 2022",$86.51,$4.65
https://thumbs.ebaystatic.com/pict/1153593621566464_1.jpg,Vintage Case Xx  Bone Handle Folding Pocket Knife,"May 5, 2022",$41.00,$11.82
https://thumbs.ebaystatic.com/pict/1153625870766464_1.jpg,NICE Case XX SLIMLINE Trapper Stainless Pocket Knife -1 Blade,"May 8, 2022",$31.00,$4.70
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/W1EAAOSwZLxicAWq/$_12.JPG?set_id=880000500F,CASE XX 6220 SS PEANUT KNIFE ~ 2006,"Jun 8, 2022",$22.00,$8.00
https://thumbs.ebaystatic.com/pict/1153779081226464_1.jpg,DISC CASE XX ZEBRA LASER ETCH 6220 SS PEANUT KNIFE Item # 08921,"May 15, 2022",$75.00,$4.80
https://thumbs.ebaystatic.com/pict/1153786451196464_1.jpg,CASE XX USA 7 DOT 1973 YELLOW COMPOSITION TRAPPER KNIFE 3254 CARBON STEEL (11378,"May 14, 2022",$40.00,$7.00
https://thumbs.ebaystatic.com/pict/1153814911316464_1.jpg,CASE XX 3254 CV YELLOW TRAPPER JACK Folding Pocket Knife W/Box,"May 19, 2022",$28.00,$8.45
https://thumbs.ebaystatic.com/pict/1153817915536464_1.jpg,R@RE CASE XX TRANSITION CONGRESS KNIFE 1975-1978 Pattern # 64052,"May 16, 2022",$225.00,$6.07
https://thumbs.ebaystatic.com/pict/1153874560636464_1.jpg,Case XX USA 6 Dot (1974) Delrin Handle 6202 1/2 Jack Pocket Knife ,"May 26, 2022",$48.00,$5.50
https://i.ebayimg.com/00/s/MTI0NlgxNjAw/z/hv8AAOSwwNlibC4R/$_12.JPG?set_id=880000500F,CASE XX USA 62109W AUTUMN BONE  MINI COPPERHEAD KNIFE-very Nice,"Jun 5, 2022",$92.07,$4.70
https://thumbs.ebaystatic.com/pict/1153978121276464_1.jpg,2000 CASE XX POCKET HUNTER Knife V51165 T.H.SS VIntage STAG Handles Made In USA ,"May 30, 2022",$84.00,$8.00
https://i.ebayimg.com/00/s/MTA2NlgxNjAw/z/qQ4AAOSwk91ikAae/$_57.JPG?set_id=880000500F,Case Limited Edition XX 610096 Toothpick Pocket Knife 2002 Blue Bone Handles,"Jun 6, 2022",$44.00,$0.00
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/9h0AAOSw1UNiYsV0/$_12.JPG?set_id=880000500F,Case XX Pocket Knife,"Jun 4, 2022",$7.50,$4.65
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/kfwAAOSwJmZikVoD/$_12.JPG?set_id=880000500F,Case XX 63087 Small Stockman Pocket Knife,"Jun 4, 2022",$31.00,$0.00
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/KcYAAOSwebVinOfT/$_32.JPG?set_id=880000500F,Vintage Case XX USA Parts Knife 62032 ,"Jun 13, 2022",$3.00,$5.50
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/EfoAAOSwDO5iZzZL/$_12.JPG?set_id=880000500F,Case XX Kinfolks Family Tree 1997 Canoe Knife-pristine Condition-in Box,"Jun 22, 2022",$56.00,$5.25
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/mBoAAOSwVFdipnJo/$_12.JPG?set_id=880000500F,1985 CASE XX 6375 LARGE STOCKMAN KNIFE CARBON STEEL BLADES R@RE NEW GRIND,"Jun 17, 2022",$175.00,$5.10
https://i.ebayimg.com/00/s/NTAwWDE1OTM=/z/Qh4AAOSwmhpipq~w/$_12.JPG?set_id=880000500F,CASE XX 61048 SS SINGLE BLADE POCKET KNIFE,"Jun 21, 2022",$33.00,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/cjYAAOSwGZViltda/$_12.JPG?set_id=880000500F,1989 CASE XX MINT SET TESTED CENTENNIAL COKE BOTTLE RED BONE KNIFE RC61050SS,"Jun 29, 2022",$99.95,$5.85
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/JtwAAOSwq~Viebaa/$_12.JPG?set_id=880000500F,2007 CASE XX TOMMY HART TH62165 SS POCKET HUNTER KNIFE Red Shield White Bone Dis,"Jun 26, 2022",$59.95,$5.20
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/dQsAAOSwyatitNIS/$_57.JPG?set_id=8800005007,VTG CASE XX 2137 SS SODBUSTER JR POCKET KNIFE USA   ,"Jul 5, 2022",$16.50,$5.50
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/oa0AAOSwdQliuO9E/$_12.JPG?set_id=880000500F,Case XX Knife 11580 Limited XX Edition Russlock 2010 Crimson 1 Of 3000,"Jul 3, 2022",$62.00,$3.76
https://i.ebayimg.com/00/s/MTA2NlgxNjAw/z/rLEAAOSwYslivI8A/$_57.JPG?set_id=8800005007,Case XX USA 5 Dot 31048CV  Knife,"Jul 6, 2022",$13.50,$5.20
https://i.ebayimg.com/00/s/MTA4MFgxMzQ5/z/1R8AAOSwJj5iwFg7/$_12.JPG?set_id=880000500F,Case XX Kinfolks Trapper Honey Brown 10 Dot Knife 06580,"Jul 11, 2022",$76.00,$3.81
https://i.ebayimg.com/00/s/ODEzWDEwODA=/z/6UMAAOSwXBdiwKkL/$_57.JPG?set_id=880000500F,1965 - 1969 CASE XX 4100 SS Melon Tester Knife (No dots),"Jul 9, 2022",$84.55,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/eusAAOSwGCBiwiUt/$_12.JPG?set_id=880000500F,2016 Case XX TONY BOSE TEAR DROP Knife TB62028 CV RED Jigged Bone Made In USA,"Jul 10, 2022",$63.00,$8.70
