Image,title,title2,avg_price,avg_shipping,url
https://thumbs.ebaystatic.com/pict/1340160049416464_1.jpg,Buck Mavrick small fix blade Knife usa ,,$20.67,$8.99,
https://i.ebayimg.com/00/s/MTAwMFgxMDAw/z/3jkAAOSwE1JilhB9/$_57.JPG?set_id=8800005007,,"Buck 395 Omni Folding Hunter Knife, Stainless Steel Blade, Made in USA, #2016",$38.43,$49.70,https://www.ebay.com/itm/165510288660?nordt=true&orig_cvip=true&rt=nc
https://thumbs.ebaystatic.com/pict/1947491323776464_1.jpg,Buck USA 529A Buckskin Lockblade Pocket Knife 1988 Alligator Skin Vintage ,,$71.67,$5.00,
https://thumbs.ebaystatic.com/pict/2036238453966464_1.jpg,Buck USA 285 Bantam Lockback Knife Hunting Fishing EDC made in USA,,$14.95,$0.00,
https://thumbs.ebaystatic.com/pict/2748962132456464_1.jpg,BUCK PETER WHITTAKER 759 Green FOLDING POCKET KNIFE & BOTTLE OPENER Keychain,,$20.00,$5.25,
https://thumbs.ebaystatic.com/pict/2749068261966464_1.jpg,Buck 110+ Folding Hunter Knife MADE IN USA ,,$38.00,$9.86,
https://thumbs.ebaystatic.com/pict/2749313446906464_1.jpg,GOOD USED BUCK KNIFE KNIVES MODEL 184 LARGE and SMALL POUCH IN GOOD CONDITION,,$138.00,$15.00,
https://thumbs.ebaystatic.com/pict/2749729005666464_1.jpg,Buck Peter Whittaker 759 Folding Pocket Knife/Key chain. Color Orange ,,$20.00,$5.22,
https://thumbs.ebaystatic.com/pict/2751927159416464_1.jpg, BUCK USA 307 WRANGLER 3 BLADE STOCKMAN BLACK HANDLES PRE DATE CODE KNIFE   ,,$100.00,$4.68,
https://i.ebayimg.com/00/s/MTYwMFgxNDc4/z/Gx4AAOSwNKRXibuH/$_57.JPG?set_id=8800005007,,**** BUCK KNIFE KNIVES MODEL 184 LARGE POUCH GOOD USED NICE NR! ****,$83.72,$17.00,https://www.ebay.com/itm/275274628886?nordt=true&orig_cvip=true&rt=nc
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/lLYAAOSw4JxcVH6k/$_57.JPG?set_id=8800005007,,*** BUCK KNIFE KNIVES MODEL 184 SMALL POUCH GOOD USED VERY NICE BUY IT NOW!.***,$58.00,$0.00,https://www.ebay.com/itm/284851658223?nordt=true&orig_cvip=true&rt=nc
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/e00AAOSwmKBioiiI/$_12.JPG?set_id=880000500F,,Buck Whittaker 759 Blue Folding Pocket Knife & Bottle Opener Great Condition,$18.33,$0.00,https://www.ebay.com/itm/314030191500?nordt=true&orig_cvip=true&rt=nc
https://thumbs.ebaystatic.com/pict/3335598710696464_1.jpg,BUCK BANTAM MODEL 284 BLACK NYLON HANDLED FOLDING POCKET KNIFE ,,$17.65,$0.00,
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/2M8AAOSwmGVheqj~/$_57.JPG?set_id=8800005007,,Buck Whittaker 759 Folding Pocket Knife & Bottle Opener Aluminum **Various**,$25.99,$0.00,https://www.ebay.com/itm/333731229564?nordt=true&orig_cvip=true&rt=nc
https://thumbs.ebaystatic.com/pict/3340859204016464_1.jpg,Buck 753 Redpoint Rescue Folding Pocket Knife Sure-lock Safespin Combo Titanium,,$43.90,$0.00,
https://thumbs.ebaystatic.com/pict/1141680680286464_1.jpg,vintage buck 110 knife,,$50.00,$0.00,
