Image,date_sold,title,avg_price,avg_shipping
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/PSoAAOSwQgJir7M~/$_12.JPG?set_id=880000500F,"Jun 26, 2022",Spyderco Resilience Folding Knife 8Cr13MoV Steel Blade Black FRN Handle.,$40.00,$9.45
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/FK8AAOSwvYlizHXh/$_57.JPG?set_id=8800005007,"Jul 19, 2022",Spyderco Delica 4 Lockback Knife Steel Blue FRN / CPM 20CV Blade Steel Satin,$86.00,$8.99
https://thumbs.ebaystatic.com/pict/1250357558306464_1.jpg,"Dec 27, 2021",byrd Meadowlark Hawkbill by Spyderco Black FRN Handle Pocket Knife w/Lanyard(Q38,$19.99,$6.20
https://thumbs.ebaystatic.com/pict/1250366618796464_1.jpg,"Dec 7, 2021",Spyderco USA Para 3 Black Folding Knife FRN Handle BD1N C223PBBK **MINT,$58.85,$0.00
https://thumbs.ebaystatic.com/pict/1251410251416464_1.jpg,"Feb 19, 2022",Spyderco VG-10 Seki-City Endura 4 folded Packet  Tactical Lockback Knife Japan,$62.50,$8.50
https://thumbs.ebaystatic.com/pict/1251619111796464_1.jpg,"Mar 2, 2022",Vintage Spyderco  Seki City Japan VG10 Meercat EDC Knife ,$75.00,$6.00
https://thumbs.ebaystatic.com/pict/1251730830936464_1.jpg,"Mar 6, 2022",Spyderco Endura 4 Folding Knife ZDP-189 Steel Plain Edge Green FRN C10PGRE,$124.00,$9.85
https://thumbs.ebaystatic.com/pict/1251866390486464_1.jpg,"Mar 8, 2022",Spyderco Delica 4 C11FBK - Folding Knife ,$55.00,$7.75
https://thumbs.ebaystatic.com/pict/1252060094646464_1.jpg,"Mar 16, 2022",spyderco shaman knife,$160.00,$5.50
https://thumbs.ebaystatic.com/pict/1252541841466464_1.jpg,"Apr 20, 2022",Spyderco Titanium Handle Spydie Chef Plain LC200N Blade Knife Used,$167.50,$10.15
https://thumbs.ebaystatic.com/pict/1252555273596464_1.jpg,"Apr 14, 2022",SPYDERCO CTS BD1 GOLDEN COLORADO USA EARTH KNIFE,$55.00,$5.00
https://thumbs.ebaystatic.com/pict/1252655457616464_1.jpg,"Apr 26, 2022","Large SPYDERCO Folding Knife 4.20"" 8Cr13MoV Steel Blade Black and white handle",$36.00,$5.00
https://thumbs.ebaystatic.com/pict/1252771746136464_1.jpg,"Apr 28, 2022",Spyderco Yojimbo 2 Speciality Tactical Folding Knife C85GP2,$110.00,$5.93
https://thumbs.ebaystatic.com/pict/1252839443636464_1.jpg,"May 5, 2022",Spyderco Native Golden Colorado USA Model CMPS30V Lockback Folding Pocket Knife,$110.00,$8.70
https://thumbs.ebaystatic.com/pict/1252894950756464_1.jpg,"May 9, 2022",Spyderco Ambitious G10 8cr13mov Folding Pocket Knife,$30.00,$5.25
https://thumbs.ebaystatic.com/pict/1252931749666464_1.jpg,"May 9, 2022",SPYDERCO GIN-1 FOLDING POCKET KNIFE SEKI JAPAN MADE EDC NICE ,$56.00,$5.00
https://thumbs.ebaystatic.com/pict/1252946238596464_1.jpg,"May 4, 2022",Spyderco Tenacious C122PBBK - Folding Knife,$35.00,$7.75
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/OTUAAOSw3nNijOy0/$_57.JPG?set_id=8800005007,"Jun 4, 2022",Spyderco Knife Manix 2 Dark Blue FRCP FRN Handle S110V Blade C101PDBL2,$112.50,$5.50
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/gucAAOSwvr5ijTfS/$_12.JPG?set_id=880000500F,"Jun 22, 2022",Spyderco Grasshopper Slipjoint Folding Knife Steel C138P Stainless Pocket Knives,$16.00,$5.00
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/DIQAAOSwKcNis3d1/$_12.JPG?set_id=880000500F,"Jun 30, 2022",Spyderco Dragonfly 2 Salt H-1Yellow FRN Serrated Folding Pocket Knife,$60.00,$5.40
https://thumbs.ebaystatic.com/pict/1340185881496464_1.jpg,"Feb 9, 2022",Spyderco Sage 2 Pocket Knife Titanium S30V Bronze screws Nice Condition.,$240.00,$7.50
https://thumbs.ebaystatic.com/pict/1340197761456464_1.jpg,"Feb 25, 2022","SPYDERCO All Stainless Knife with Serrated Blade, 5 inches Long, Used Knife",$79.00,$5.00
https://thumbs.ebaystatic.com/pict/1340233708446464_1.jpg,"Mar 5, 2022",SPYDERCO AUS-6 STAINLESS SEKI-CITY JAPAN FOLDING KNIFE,$95.00,$0.00
https://thumbs.ebaystatic.com/pict/1340253564316464_1.jpg,"Feb 21, 2022",#446 Stnless Spyderco Harpy Serrated VG-10 Lockback Knife Seki Japan Shackle Key,$87.66,$0.00
https://thumbs.ebaystatic.com/pict/1340296042446464_1.jpg,"Feb 25, 2022",SPYDERCO Economy Folding Knife ATS-55 Blade G-10 Handle,$65.03,$4.20
https://thumbs.ebaystatic.com/pict/1340378050246464_1.jpg,"Mar 7, 2022",Spyderco Salt Water H1 Knife,$36.00,$9.45
https://thumbs.ebaystatic.com/pict/1340421483786464_1.jpg,"Mar 9, 2022","# 38 Spyderco Endura 4 Knife Tactical Combo Folder (3.75"" Black Serr) C10PSB",$90.00,$9.45
https://thumbs.ebaystatic.com/pict/1340549949086464_1.jpg,"Mar 26, 2022","Spyderco Sage 2  Folding Pocket Knife 3"" Blade",$250.00,$11.60
https://thumbs.ebaystatic.com/pict/1340612569826464_1.jpg,"Mar 27, 2022",#926 Yellow Spyderco Ladybug 3 Hawkbill H1 Serrated Lockback Knife Seki Japan ,$34.33,$0.00
https://thumbs.ebaystatic.com/pict/1340667501396464_1.jpg,"Apr 10, 2022",#976 Red Orange Spyderco Smock G10 S30V Button Compression Lock Flipper Knife,$305.00,$0.00
https://thumbs.ebaystatic.com/pict/1340849631306464_1.jpg,"Apr 14, 2022",Spyderco Spydiechef TI Framelock Knife - Grey,$175.00,$5.25
https://thumbs.ebaystatic.com/pict/1340850339846464_1.jpg,"Apr 21, 2022","Spyderco Paramilitary 2 AM Folding Pocket Knife 3.44"" Blade",$175.00,$9.85
https://thumbs.ebaystatic.com/pict/1341087387926464_1.jpg,"May 13, 2022",Spyderco Para 3 Knife C223GPDBL Satin Plain Edge CPM-S110V Blade Dark Blue G-10,$147.50,$5.50
https://thumbs.ebaystatic.com/pict/1341093122706464_1.jpg,"May 13, 2022",Spyderco Matriarch 2 Lightweight Folding Knife with Emerson Opener,$102.50,$4.75
https://thumbs.ebaystatic.com/pict/1341217927976464_1.jpg,"May 25, 2022",Spyderco LC200N Salt 2 Neon Green Knife,$89.99,$5.25
https://thumbs.ebaystatic.com/pict/1341219188036464_1.jpg,"May 24, 2022",Spyderco Manix 2 Folding Knife - Blue,$80.99,$4.70
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/vr0AAOSwqWdimqKQ/$_12.JPG?set_id=880000500F,"Jun 12, 2022",Spyderco Delica 4 ZDP-189 British Racing Green Discontinued Steel Knife,$73.00,$7.95
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/ztoAAOSwnFFir1di/$_12.JPG?set_id=880000500F,"Jul 10, 2022",Spyderco Delica C11FPNBD FRN Damascus Knife - Blue,$128.00,$5.40
https://thumbs.ebaystatic.com/pict/1444017800296464_1.jpg,"Feb 15, 2022",Spyderco Byrd Black Rescue 2 Serrated Folding Pocket Knife,$25.00,$0.00
https://thumbs.ebaystatic.com/pict/1444073646976464_1.jpg,"Feb 10, 2022",Spyderco Yellow Dragonfly 2 Salt Lockback Folding Knife,$56.00,$0.00
https://thumbs.ebaystatic.com/pict/1444176401566464_1.jpg,"Feb 24, 2022",Spyderco Delica Clipit AUS8 Stainless Combo Edge Folding Pocket Knife Japan,$59.99,$5.25
https://thumbs.ebaystatic.com/pict/1444194840306464_1.jpg,"Feb 17, 2022",Spyderco C122PBBK Tenacious Folding Knife - Black,$22.50,$5.25
https://thumbs.ebaystatic.com/pict/1444395813296464_1.jpg,"Mar 18, 2022","SPYDERCO Knife with Combo Blade, VG-10 Stainless, 4¼ inches Long, Japan Knife",$71.00,$5.00
https://thumbs.ebaystatic.com/pict/1444417837676464_1.jpg,"Mar 15, 2022","Spyderco Resilience Folding Knife 4-1/4"" Satin Plain Blade, Black G10",$45.00,$9.45
https://thumbs.ebaystatic.com/pict/1444589638626464_1.jpg,"Mar 20, 2022",Spyderco Hanan pln knife with box and papers,$109.50,$5.25
https://thumbs.ebaystatic.com/pict/1444691699536464_1.jpg,"Mar 25, 2022",Spyderco Tenacious Knife. Lightly Used.,$41.00,$5.00
https://thumbs.ebaystatic.com/pict/1444715043726464_1.jpg,"Mar 31, 2022",Spyderco Delica Clipit VG-10 Pocket Knife,$40.00,$0.00
https://thumbs.ebaystatic.com/pict/1444717737116464_1.jpg,"Mar 21, 2022",Spyderco Para 3 Folding Knife Satin Plain Edge S30V Blade Black G-10,$94.00,$0.00
https://thumbs.ebaystatic.com/pict/1445000214766464_1.jpg,"Apr 21, 2022","Spyderco Police Model ""Prototype"" Knife Fully Serrated G-2 Seki Japan",$200.00,$12.00
https://thumbs.ebaystatic.com/pict/1445588129456464_1.jpg,"May 17, 2022",Spyderco Efficient Liner Lock Knife Black G-10,$35.00,$0.00
https://thumbs.ebaystatic.com/pict/1445664462086464_1.jpg,"Jun 1, 2022",Spyderco Manix Folding Pocket Knife,$81.00,$4.50
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/8~MAAOSwJDlijEPh/$_57.JPG?set_id=880000500F,"Jun 7, 2022",Spyderco Byrd Cara Cara 2 USCCA Folding Pocket Knife Police Fire EMS,$31.00,$4.00
