Image,url,date_sold,price_in_US,shipping_,title,Text
https://i.ebayimg.com/images/g/AYIAAOSwS4xiXwFL/s-l1200.jpg,,"May 20, 2022",$44.00,$0.00,,''Buck USA 505 Lockback Folding Pocket Knife Buck USA 505 Lockback Folding Pocket Knife 
https://i.ebayimg.com/images/g/bxQAAOSwrLBigJ3J/s-l1200.jpg,,"May 20, 2022",$26.00,$8.00,,"''Buck 055 The 55 Folding Hunter Knife 2.375"" Plain Blade, Ebony Wood Handles #K29Buck 055 The 55 Folding Hunter Knife 2.375"" Plain Blade, Ebony Wood Handles #K29"
https://i.ebayimg.com/images/g/N-IAAOSwKZligKGy/s-l1200.jpg,,"May 20, 2022",$10.50,$6.00,,''Vintage 1995 Buck USA 301C Stockman Sharp 3 blade Pocket Knife #K31Vintage 1995 Buck USA 301C Stockman Sharp 3 blade Pocket Knife #K31
https://i.ebayimg.com/images/g/7PQAAOSwZAlh-0yb/s-l1200.jpg,,"May 20, 2022",$79.99,$0.00,,''Buck USA Knife 270 Alpha Dorado W/SheathBuck USA Knife 270 Alpha Dorado W/Sheath
https://i.ebayimg.com/images/g/IQAAAOSw8A9igUe2/s-l1200.jpg,,"May 20, 2022",$39.00,$3.99,,''BUCK SCRIPT WHITE KNIGHT MODEL 506 KNIFE USA KNIVESBUCK SCRIPT WHITE KNIGHT MODEL 506 KNIFE USA KNIVES
https://i.ebayimg.com/images/g/GQUAAOSwnXVieTTM/s-l1200.jpg,,"May 20, 2022",$32.00,$9.10,,''Buck 110 Folding Hunter Knife with Wood Handle & Stainless Steel BladeBuck 110 Folding Hunter Knife with Wood Handle & Stainless Steel Blade
https://i.ebayimg.com/images/g/eUUAAOSwbRFig~Rr/s-l1200.png,,"May 20, 2022",$36.00,$7.80,,''BUCK 110 U.S.A. Folding Pocket KNIFE & BUCK #426 CLOTH SHEATH *PreownedBUCK 110 U.S.A. Folding Pocket KNIFE & BUCK #426 CLOTH SHEATH *Preowned
https://i.ebayimg.com/images/g/OVsAAOSwSohiiAaL/s-l1200.jpg,,"May 20, 2022",$28.00,$5.40,,''buck folding pocket knifebuck folding pocket knife
https://i.ebayimg.com/images/g/LFsAAOSwSohidgBy/s-l1200.jpg,,"May 20, 2022",$15.00,$0.00,,''BUCK WORKMAN CADET MODEL 303 SAWCUT DELRIN HANDLE FOLDING POCKET KNIFE USA bBUCK WORKMAN CADET MODEL 303 SAWCUT DELRIN HANDLE FOLDING POCKET KNIFE USA b
https://i.ebayimg.com/images/g/WhgAAOSwEDpifAw5/s-l1200.jpg,,"May 20, 2022",$45.00,$6.00,,''Buck USA Crosslock 180 Folding Pocket Knife (1994) *PHBuck USA Crosslock 180 Folding Pocket Knife (1994) *PH
https://i.ebayimg.com/images/g/ktcAAOSwCntifsb0/s-l1200.jpg,,"May 20, 2022",$36.24,$7.30,,"''Buck 110 U.S.A. Folding Pocket Knife 1986, for repair or partsBuck 110 U.S.A. Folding Pocket Knife 1986, for repair or parts"
https://i.ebayimg.com/images/g/QMAAAOSwjthiS61l/s-l1200.jpg,,"May 20, 2022",$34.99,$11.60,,''Vintage Buck 112 Ranger Folding Knife Collectible Vintage Buck 112 Ranger Folding Knife Collectible 
https://i.ebayimg.com/images/g/GRwAAOSwbOhicw1Z/s-l1200.jpg,,"May 20, 2022",$7.00,$3.87,,''Buck 450  Lockback Folding  Knife Nylon Sheath only. Buck 450  Lockback Folding  Knife Nylon Sheath only. 
https://i.ebayimg.com/images/g/DbwAAOSwgnZihZ47/s-l1200.jpg,,"May 20, 2022",$22.45,$4.75,,''Buck 825 Liberty 1886-1986 Single Blade Pocket Knife Lock BackBuck 825 Liberty 1886-1986 Single Blade Pocket Knife Lock Back
https://i.ebayimg.com/images/g/SQcAAOSwXPRiZYEp/s-l1200.png,,"May 20, 2022",$16.50,$0.00,,''Buck 870 Bones Framelock Folding Pocket KnifeBuck 870 Bones Framelock Folding Pocket Knife
https://i.ebayimg.com/images/g/6voAAOSw6qliIcjt/s-l1200.jpg,,"May 20, 2022",$32.00,$7.87,,''Buck Knife Statue of Liberty Commemorative Model 826 100 Year never used Buck Knife Statue of Liberty Commemorative Model 826 100 Year never used 
https://i.ebayimg.com/images/g/g4kAAOSwLQNhZ1iL/s-l1200.jpg,,"May 21, 2022",$11.59,$5.59,,''Buck 283 USA Nano Bantam Lockback  Plain Edge Pocket Knife  -- Great ConditionBuck 283 USA Nano Bantam Lockback  Plain Edge Pocket Knife  -- Great Condition
https://i.ebayimg.com/images/g/IbAAAOSwEjpihv7S/s-l1200.jpg,,"May 21, 2022",$25.00,$8.99,,''Buck Knife #179 Frame Lock Folding Knife With 3.5” Blade.  Great Condition.Buck Knife #179 Frame Lock Folding Knife With 3.5” Blade.  Great Condition.
https://i.ebayimg.com/images/g/BNoAAOSw6qxiIPvD/s-l1200.jpg,,"May 21, 2022",$7.99,$0.00,,''Buck Bones 870 Folding Pocket Knife (2013) - B809 - Heavy SharpeningBuck Bones 870 Folding Pocket Knife (2013) - B809 - Heavy Sharpening
https://i.ebayimg.com/images/g/IwAAAOSwNs9ibGGy/s-l1200.jpg,,"May 21, 2022",$49.99,$0.00,,''Vintage Buck 112 USA  Folding Lock Back Knife & SheathVintage Buck 112 USA  Folding Lock Back Knife & Sheath
https://i.ebayimg.com/images/g/khYAAOSw3yNif8Ch/s-l1200.jpg,,"May 21, 2022",$25.00,$5.50,,''Buck 303+ Folding Pocket Knife 3-BladeBuck 303+ Folding Pocket Knife 3-Blade
https://i.ebayimg.com/images/g/koEAAOSwzJtihnsM/s-l1200.jpg,,"May 21, 2022",$24.77,$0.00,,"''��Vintage Buck USA Knife 425, Red Mini Buck Folding Pocket Knife, Nice!��Vintage Buck USA Knife 425, Red Mini Buck Folding Pocket Knife, Nice!"
https://i.ebayimg.com/images/g/IS4AAOSw0hViZYrb/s-l1200.jpg,,"May 21, 2022",$20.00,$5.00,,''Buck Knife 526Buck Knife 526
https://i.ebayimg.com/images/g/xvUAAOSwe0FihASZ/s-l1200.jpg,,"May 21, 2022",$36.00,$0.00,,''Buck USA 840 Sprint Select Flipper Knife Liner Lock Plain Edge Blade 2019Buck USA 840 Sprint Select Flipper Knife Liner Lock Plain Edge Blade 2019
https://i.ebayimg.com/images/g/IkoAAOSwvb9ifATD/s-l1200.jpg,,"May 21, 2022",$25.00,$5.00,,''Vintage Buck USA Bucklite 424 Lockback Pocket Knife 1990Vintage Buck USA Bucklite 424 Lockback Pocket Knife 1990
https://i.ebayimg.com/images/g/fnwAAOSw8A9if0LA/s-l1200.jpg,,"May 21, 2022",$43.00,$6.00,,''Vintage Pocket Knife Lot Buck Kent Wards Camillus Hibbard Spencer & BartletVintage Pocket Knife Lot Buck Kent Wards Camillus Hibbard Spencer & Bartlet
https://i.ebayimg.com/images/g/TuMAAOSwoWxif~sU/s-l1200.jpg,,"May 21, 2022",$17.00,$9.85,,''Buck knife sheath lot Black Leather 110 - Black Gold  422 - Black Canvas UnknownBuck knife sheath lot Black Leather 110 - Black Gold  422 - Black Canvas Unknown
https://i.ebayimg.com/images/g/5LAAAOSwsMRif~QB/s-l1200.jpg,,"May 21, 2022",$38.00,$9.45,,''leather knife sheaths buck Vintage Workman 407-00 Plus A Buck 500 And A Buck 112leather knife sheaths buck Vintage Workman 407-00 Plus A Buck 500 And A Buck 112
https://i.ebayimg.com/images/g/6k4AAOSwWNRigBi9/s-l1200.jpg,,"May 21, 2022",$37.00,$7.00,,''Vintage Buck Ranger 112 Folding Pocket/Hunting Knife Wood HandleVintage Buck Ranger 112 Folding Pocket/Hunting Knife Wood Handle
https://i.ebayimg.com/images/g/C3sAAOSwl3xf7lvK/s-l1200.jpg,,"May 21, 2022",$45.00,$3.95,,''Buck 501 Knife USA with Wooden Handle Buck 501 Knife USA with Wooden Handle 
https://i.ebayimg.com/images/g/PAIAAOSws0RiiUGP/s-l1200.jpg,,"May 21, 2022",$45.00,$0.00,,''Buck USA Ebony 110 Folding Hunting/Pocket Knife & Sheath Buck USA Ebony 110 Folding Hunting/Pocket Knife & Sheath 
https://i.ebayimg.com/images/g/GF8AAOSwXUpigC-y/s-l1200.jpg,,"May 21, 2022",$14.35,$4.65,,''BUCK NRA ~ila Small EAGLE folding pocket knifeBUCK NRA ~ila Small EAGLE folding pocket knife
https://i.ebayimg.com/images/g/MYcAAOSwZoZigDlk/s-l1200.jpg,,"May 21, 2022",$22.00,$0.00,,''BUCK USA KNIFE MODEL 257 NEW CONDITION MICARTA HANDLES THUMB SLOT AND POCKET...BUCK USA KNIFE MODEL 257 NEW CONDITION MICARTA HANDLES THUMB SLOT AND POCKET...
https://i.ebayimg.com/images/g/Zj8AAOSwvYligBOC/s-l1200.jpg,,"May 21, 2022",$32.00,$3.99,,''Buck USA 521 Stainless Steel Lockback Folding Knife Wild Turkey Buck USA 521 Stainless Steel Lockback Folding Knife Wild Turkey 
