Image,url,date_sold,price_in_US,shipping_,Text
https://i.ebayimg.com/images/g/j70AAOSwrahhdfOi/s-l1200.jpg,,"Oct 31, 2021",$145.10,$4.90,''Case XX USA 61093 Red Bone Large Texas Toothpick Knife 1965 - 1969 Case XX USA 61093 Red Bone Large Texas Toothpick Knife 1965 - 1969 
https://i.ebayimg.com/images/g/UMoAAOSw9E9heJgL/s-l1200.jpg,,"Oct 31, 2021",$86.00,$5.71,''case xx c87fe folding pocket jackknife jack knife vtg oldcase xx c87fe folding pocket jackknife jack knife vtg old
https://i.ebayimg.com/images/g/5PIAAOSwvCNhd1EN/s-l1200.jpg,,"Oct 31, 2021",$275.00,$9.20,''HEIRLOOM 2002 CASE XX 81549L SS SILVER SCRIPT ABALONE LARGE COPPERLOCK KNIFEHEIRLOOM 2002 CASE XX 81549L SS SILVER SCRIPT ABALONE LARGE COPPERLOCK KNIFE
https://i.ebayimg.com/images/g/qrMAAOSwB69hdfro/s-l1200.jpg,,"Oct 31, 2021",$366.00,$0.00,''CASE XX FOLDING HUNTER DEALER KNIFE SET (2003 PRODUCTION) DAMASCUS STEELCASE XX FOLDING HUNTER DEALER KNIFE SET (2003 PRODUCTION) DAMASCUS STEEL
https://i.ebayimg.com/images/g/zh0AAOSwDphhdfr4/s-l1200.jpg,,"Oct 31, 2021",$26.00,$5.00,''Case XX Stainless 2 Blade Pocket Knife 06263 UsedCase XX Stainless 2 Blade Pocket Knife 06263 Used
https://i.ebayimg.com/images/g/mWAAAOSwcrxhdgGY/s-l1200.jpg,,"Oct 31, 2021",$63.89,$5.53,''US 2015 My 1st Case XX Tested 62154 SS Antique Folding Pocket Knife bUS 2015 My 1st Case XX Tested 62154 SS Antique Folding Pocket Knife b
https://i.ebayimg.com/images/g/zfIAAOSwdjhhcVIJ/s-l1200.jpg,,"Oct 31, 2021",$20.50,$5.20,''Vintage CASE XX 6318 HE STOCKMAN 3 Blade Pocket Knife - EXACTLY AS FOUND!Vintage CASE XX 6318 HE STOCKMAN 3 Blade Pocket Knife - EXACTLY AS FOUND!
https://i.ebayimg.com/images/g/SpoAAOSwjQ5hcg0W/s-l1200.jpg,,"Oct 31, 2021",$67.00,$5.72,''US 2014 Case XX Tested 61953L CV Russlock Red Folding Pocket Knife aUS 2014 Case XX Tested 61953L CV Russlock Red Folding Pocket Knife a
https://i.ebayimg.com/images/g/qvEAAOSwVtRheKSj/s-l1200.jpg,,"Oct 31, 2021",$55.00,$5.72,''US 2014 Case XX Tested 610096 SS Tiny Toothpick Grey Folding Pocket Knife aUS 2014 Case XX Tested 610096 SS Tiny Toothpick Grey Folding Pocket Knife a
https://i.ebayimg.com/images/g/7x4AAOSwS45hcs48/s-l1200.jpg,,"Oct 31, 2021",$174.50,$4.50,"''Tony Bose, Case XX, T.B.6339 Sowbelly knife. Barbwire bone. 2002Tony Bose, Case XX, T.B.6339 Sowbelly knife. Barbwire bone. 2002"
https://i.ebayimg.com/images/g/C8oAAOSwuHBhdgTC/s-l1200.jpg,,"Oct 31, 2021",$13.65,$4.55,''CASE XX USA 22087 KNIFECASE XX USA 22087 KNIFE
https://i.ebayimg.com/images/g/MC8AAOSwXuphTPh-/s-l1200.jpg,,"Oct 31, 2021",$45.00,$4.95,''CASE XX USA 61165 SS AMBER PEACH SEED JIG BONE POCKET HUNTER JACK KNIFE KNIVESCASE XX USA 61165 SS AMBER PEACH SEED JIG BONE POCKET HUNTER JACK KNIFE KNIVES
https://i.ebayimg.com/images/g/7hMAAOSwEFlheKVM/s-l1200.jpg,,"Oct 31, 2021",$47.00,$5.80,''�� 1965-69 CASE XX 4100 MELON CITRUS FRUIT TESTER RARE OLD POCKET KNIFE �� 1965-69 CASE XX 4100 MELON CITRUS FRUIT TESTER RARE OLD POCKET KNIFE 
https://i.ebayimg.com/images/g/yzIAAOSwXvphdguh/s-l1200.jpg,,"Oct 31, 2021",$15.60,$4.50,''Case xx USA 2137 ss Sod Buster JR Folding Pocket KnifeCase xx USA 2137 ss Sod Buster JR Folding Pocket Knife
https://i.ebayimg.com/images/g/svsAAOSwrG5hByVs/s-l1200.jpg,,"Oct 31, 2021",$68.00,$7.50,''Case XX Jigged Buffalo Horn Doctor's KnifeCase XX Jigged Buffalo Horn Doctor's Knife
https://i.ebayimg.com/images/g/QzMAAOSw62phdgx5/s-l1200.jpg,,"Oct 31, 2021",$23.50,$4.50,''Case XX Sod-buster JR 3137 CV SS Knife Good used conditionCase XX Sod-buster JR 3137 CV SS Knife Good used condition
https://i.ebayimg.com/images/g/oDAAAOSwIsdeUApZ/s-l1200.jpg,,"Oct 31, 2021",$55.00,$0.00,''**Rare CASE XX I2109X SS BABY COPPERHEAD Vintage KNIFE VINTAGE Handle Material.**Rare CASE XX I2109X SS BABY COPPERHEAD Vintage KNIFE VINTAGE Handle Material.
https://i.ebayimg.com/images/g/VV4AAOSw-Vdhcg9-/s-l1200.jpg,,"Oct 31, 2021",$143.75,$0.00,''AWESOME RARE QUEEN CUTLERY Q77 Q STEEL NO # 390 GAMEKEEPER FOLDING POCKET KNIFEAWESOME RARE QUEEN CUTLERY Q77 Q STEEL NO # 390 GAMEKEEPER FOLDING POCKET KNIFE
https://i.ebayimg.com/images/g/w9IAAOSwoeJhd07H/s-l1200.jpg,,"Oct 31, 2021",$270.00,$9.20,''HEIRLOOM 2002 CASE XX 8355WH SS SILVER SCRIPT ABALONE SEAHORSE WHITTLER KNIFEHEIRLOOM 2002 CASE XX 8355WH SS SILVER SCRIPT ABALONE SEAHORSE WHITTLER KNIFE
https://i.ebayimg.com/images/g/n~UAAOSwO2dheLX4/s-l1200.jpg,,"Oct 31, 2021",$51.00,$2.95,''Case XX 610096 SS Tiny Toothpick Folding Knife Stamped 010 on Bolster - EXC!Case XX 610096 SS Tiny Toothpick Folding Knife Stamped 010 on Bolster - EXC!
https://i.ebayimg.com/images/g/I-kAAOSwPjNeeAu5/s-l1200.jpg,,"Oct 31, 2021",$25.00,$4.60,''Case XX 32087 CV USA~Pen Knife~2 Blades~ Very Nice Everyday User VintageCase XX 32087 CV USA~Pen Knife~2 Blades~ Very Nice Everyday User Vintage
https://i.ebayimg.com/images/g/5FAAAOSw291hfwKd/s-l1200.jpg,,"Oct 31, 2021",$38.00,$5.30,''Case XX USA 3347HP Yellow Delrin 1965-1969 Stockman Pocket KnifeCase XX USA 3347HP Yellow Delrin 1965-1969 Stockman Pocket Knife
https://i.ebayimg.com/images/g/co8AAOSwlYRhfvKa/s-l1200.jpg,,"Oct 31, 2021",$65.00,$5.00,''Case XX 2015 Halloween Moose Knife 6275SS w/tinCase XX 2015 Halloween Moose Knife 6275SS w/tin
https://i.ebayimg.com/images/g/QhEAAOSwrL9hftZn/s-l1200.jpg,,"Oct 31, 2021",$80.00,$5.10,"''Case XX SHC SFO 2013 Halloween ""Grim Reaper"" 6254 SS Trapper KnifeCase XX SHC SFO 2013 Halloween ""Grim Reaper"" 6254 SS Trapper Knife"
https://i.ebayimg.com/images/g/6DkAAOSwZGhhbEIE/s-l1200.jpg,,"Oct 31, 2021",$39.00,$4.00,''CASE XX KNIFE MADE IN USA 1979 1 DOT APPALOOSA BONE VINTAGE POCKETCASE XX KNIFE MADE IN USA 1979 1 DOT APPALOOSA BONE VINTAGE POCKET
https://i.ebayimg.com/images/g/5zoAAOSw7qhhdUpx/s-l1200.jpg,,"Oct 31, 2021",$76.00,$6.00,"''Vintage CASE XX U.S.A. 3233 Pocket Knife,10 Dot's,. 2 Blade.  Vintage CASE XX U.S.A. 3233 Pocket Knife,10 Dot's,. 2 Blade.  "
https://i.ebayimg.com/images/g/OSUAAOSw7QphfwUr/s-l1200.jpg,,"Nov 1, 2021",$70.00,$5.00,''Case XX 6250 Elephant Toe Pocket KnifeCase XX 6250 Elephant Toe Pocket Knife
https://i.ebayimg.com/images/g/SHcAAOSwVtxheF4d/s-l1200.jpg,,"Nov 1, 2021",$38.49,$0.00,''Case XX 6207 SS 2 Blade Pocket Knife (Various)Case XX 6207 SS 2 Blade Pocket Knife (Various)
https://i.ebayimg.com/images/g/~EUAAOSwv4lhOWAA/s-l1200.jpg,,"Nov 1, 2021",$37.00,$9.20,''Vintage Case XX SS U.S.A. Model P158 LSSP Mako Clip Point Lockback Knife Vintage Case XX SS U.S.A. Model P158 LSSP Mako Clip Point Lockback Knife 
https://i.ebayimg.com/images/g/tM8AAOSwpVBhIta1/s-l1200.jpg,,"Nov 1, 2021",$125.00,$5.00,''Case XX  1978 6347 HP SSP STOCKMAN KnifeCase XX  1978 6347 HP SSP STOCKMAN Knife
https://i.ebayimg.com/images/g/vCgAAOSwYe1hbvRz/s-l1200.jpg,,"Nov 1, 2021",$62.00,$2.95,''Vintage CASE XX 62048 Red Bone knife w/BOX LQQK !!Vintage CASE XX 62048 Red Bone knife w/BOX LQQK !!
https://i.ebayimg.com/images/g/sXUAAOSwW15fYFWh/s-l1200.jpg,,"Nov 1, 2021",$35.00,$3.18,"''1940-1964 Case XX Knife, Pattern 2229 1/2, The Tadpole w/Black Synthetic Handles1940-1964 Case XX Knife, Pattern 2229 1/2, The Tadpole w/Black Synthetic Handles"
https://i.ebayimg.com/images/g/qFoAAOSwJoVhS3gv/s-l1200.jpg,,"Nov 1, 2021",$149.00,$4.00,''CASE XX 6347 DAMASCUS AMBER BONE STOCKMAN POCKET KNIFECASE XX 6347 DAMASCUS AMBER BONE STOCKMAN POCKET KNIFE
https://i.ebayimg.com/images/g/~hkAAOSwEmxhQgjS/s-l1200.jpg,,"Nov 1, 2021",$30.00,$0.00,''Case XX USA #22087 SS Jack Folding Pocket Knife 3 Pin Black Delrin 2 Blades 2017Case XX USA #22087 SS Jack Folding Pocket Knife 3 Pin Black Delrin 2 Blades 2017
https://i.ebayimg.com/images/g/cW4AAOSwTHphYda8/s-l1200.jpg,,"Nov 1, 2021",$275.00,$5.00,''VINTAGE CASE XX SIDEWINDER WOOD HANDLE LOCK BLADE POCKET KNIFE 9 DOT 1981 BDVINTAGE CASE XX SIDEWINDER WOOD HANDLE LOCK BLADE POCKET KNIFE 9 DOT 1981 BD
https://i.ebayimg.com/images/g/RNwAAOSwgkNhdWLq/s-l1200.jpg,,"Nov 1, 2021",$53.99,$4.99,''Case XX Vintage 2 blade Smooth Rose Bone Knife 1979 SR6244 One Dot Bin #1Case XX Vintage 2 blade Smooth Rose Bone Knife 1979 SR6244 One Dot Bin #1
https://i.ebayimg.com/images/g/gEEAAOSwfj5hVeM3/s-l1200.jpg,,"Nov 1, 2021",$50.00,$5.00,''Case XX 1976 6344 Stockman KnifeCase XX 1976 6344 Stockman Knife
https://i.ebayimg.com/images/g/JLIAAOSw9Gphdupg/s-l1200.jpg,,"Nov 1, 2021",$46.00,$0.00,''CASE XX 10 DOT 1970 CANOE 62131 POCKET KNIFECASE XX 10 DOT 1970 CANOE 62131 POCKET KNIFE
https://i.ebayimg.com/images/g/1o8AAOSwD~1hdusG/s-l1200.jpg,,"Nov 1, 2021",$39.13,$0.00,''CASE XX 1981 9-DOT COCA-COLA CHATTANOOGA  278 POCKET KNIFECASE XX 1981 9-DOT COCA-COLA CHATTANOOGA  278 POCKET KNIFE
https://i.ebayimg.com/images/g/L4YAAOSwIPFhgAoa/s-l1200.jpg,,"Nov 1, 2021",$37.99,$0.00,''2011 Case XX 61048 SS Navy Blue Utility Slimline Trapper Pocket Knife2011 Case XX 61048 SS Navy Blue Utility Slimline Trapper Pocket Knife
https://i.ebayimg.com/images/g/Y7oAAOSwxqFhdvtl/s-l1200.jpg,,"Nov 1, 2021",$19.50,$4.95,'' CASE XX 2138 1 BLADE LARGE SODBUSTER DAMAGED BLACK HANDLES 1981 KNIFE CASE XX 2138 1 BLADE LARGE SODBUSTER DAMAGED BLACK HANDLES 1981 KNIFE
https://i.ebayimg.com/images/g/BJEAAOSwMYVhdv0q/s-l1200.jpg,,"Nov 1, 2021",$66.00,$6.95,''CASE XX P197 LSSP SHARKTOOTH PAKKAWOOD  BLACK HANDLES 1981 KNIFECASE XX P197 LSSP SHARKTOOTH PAKKAWOOD  BLACK HANDLES 1981 KNIFE
https://i.ebayimg.com/images/g/K00AAOSw6nRhdv~D/s-l1200.jpg,,"Nov 1, 2021",$19.50,$4.95,''CASE XX 3148 1 BLADE BAREHEAD TRAPPER YELLOW FADED TO WHITE  HANDLES 1981 KNIFECASE XX 3148 1 BLADE BAREHEAD TRAPPER YELLOW FADED TO WHITE  HANDLES 1981 KNIFE
https://i.ebayimg.com/images/g/VtcAAOSwEFlhdwSg/s-l1200.jpg,,"Nov 1, 2021",$48.77,$8.30,''CASE XX 2001 6215 SMOOTH GREEN BONE DOCTORS KNIFECASE XX 2001 6215 SMOOTH GREEN BONE DOCTORS KNIFE
https://i.ebayimg.com/images/g/7-sAAOSwA9ZhIX0K/s-l1200.jpg,,"Nov 1, 2021",$19.99,$6.45,"''Modern Case XX Single Blade Lockback Pocket Knife, Plastic Handle, 059L SSModern Case XX Single Blade Lockback Pocket Knife, Plastic Handle, 059L SS"
https://i.ebayimg.com/images/g/u9oAAOSwoR1hIYJT/s-l1200.jpg,,"Nov 1, 2021",$12.99,$6.45,"''2016 Case XX Single Blade Lockback Pocket Knife, Camo Handle, 225 L SS2016 Case XX Single Blade Lockback Pocket Knife, Camo Handle, 225 L SS"
https://i.ebayimg.com/images/g/NbsAAOSw34xhgEP~/s-l1200.jpg,,"Nov 1, 2021",$250.00,$0.00,''Vintage Case xx Stag Handle Knife 5FINN SSPVintage Case xx Stag Handle Knife 5FINN SSP
https://i.ebayimg.com/images/g/2RAAAOSwkk5heb9A/s-l1200.jpg,,"Nov 1, 2021",$89.95,$0.00,''CASE XX 62048 SS AUTUMN BONE BAREHEAD TRAPPER 2000 MINT KNIFE (K001)CASE XX 62048 SS AUTUMN BONE BAREHEAD TRAPPER 2000 MINT KNIFE (K001)
https://i.ebayimg.com/images/g/os8AAOSw9yZhc0dW/s-l1200.jpg,,"Nov 1, 2021",$34.00,$5.95,''Case xx 61953 L SS Pocket Knife No Reserve!!!!!!!!Case xx 61953 L SS Pocket Knife No Reserve!!!!!!!!
https://i.ebayimg.com/images/g/LBoAAOSwlaphd0Pk/s-l1200.jpg,,"Nov 1, 2021",$107.50,$4.99,''Case XX 5355WH STAG Seahorse Whittler KnifeCase XX 5355WH STAG Seahorse Whittler Knife
https://i.ebayimg.com/images/g/g10AAOSwZ0VhWgWO/s-l1200.jpg,,"Nov 1, 2021",$66.89,$5.00,''CASE XX MAKO LOCKBACK KNIFE 7158 CURLEY MAPLE HANDLES UNUSED w/SHEATH 1985CASE XX MAKO LOCKBACK KNIFE 7158 CURLEY MAPLE HANDLES UNUSED w/SHEATH 1985
https://i.ebayimg.com/images/g/POYAAOSwPRJhdypQ/s-l1200.jpg,,"Nov 1, 2021",$36.00,$7.95,''CASE XX SMALL STOCKMAN #52033 SECOND CUT STAG POCKET KNIFE NR $1CASE XX SMALL STOCKMAN #52033 SECOND CUT STAG POCKET KNIFE NR $1
https://i.ebayimg.com/images/g/Lj0AAOSwjuRhdy2u/s-l1200.jpg,,"Nov 1, 2021",$70.00,$7.95,''CASE XX STOCKMAN # 53087 SECOND CUT STAG SERIES POCKET KNIFE NR $1CASE XX STOCKMAN # 53087 SECOND CUT STAG SERIES POCKET KNIFE NR $1
https://i.ebayimg.com/images/g/MO8AAOSwVBZheeYR/s-l1200.jpg,,"Nov 1, 2021",$152.50,$12.00,''Case XX Knife Lot MapleCase XX Knife Lot Maple
https://i.ebayimg.com/images/g/ZM4AAOSwKGdhegWR/s-l1200.jpg,,"Nov 1, 2021",$65.00,$0.00,''Case XX 1988 Large Copperhead Knife 6249Case XX 1988 Large Copperhead Knife 6249
https://i.ebayimg.com/images/g/vVwAAOSwAJ5hZN0N/s-l1200.jpg,,"Nov 1, 2021",$15.00,$5.25,''1975 Case XX USA 5 Dot Red Bone 2 Blade Knife 62231975 Case XX USA 5 Dot Red Bone 2 Blade Knife 6223
https://i.ebayimg.com/images/g/cqMAAOSwPathcG1f/s-l1200.jpg,,"Nov 1, 2021",$115.00,$5.85,''CASE XX 6207 SELECT BERMUDA GREEN BONE WHARNCLIFFE MINI TRAPPER POCKET KNIFECASE XX 6207 SELECT BERMUDA GREEN BONE WHARNCLIFFE MINI TRAPPER POCKET KNIFE
https://i.ebayimg.com/images/g/HBQAAOSwVAVheZiT/s-l1200.jpg,,"Nov 1, 2021",$49.95,$0.00,''Case XX Jigged Bone pocket Knife 6137 SS USA made 2006 Sod Buster USACase XX Jigged Bone pocket Knife 6137 SS USA made 2006 Sod Buster USA
https://i.ebayimg.com/images/g/6uEAAOSwjQ5hduY5/s-l1200.jpg,,"Nov 1, 2021",$21.50,$3.95,''6 Case XX Replacement Knife Shields for Case XX Pocket Knife Knives6 Case XX Replacement Knife Shields for Case XX Pocket Knife Knives
https://i.ebayimg.com/images/g/1PoAAOSw2eZhSkN6/s-l1200.jpg,,"Nov 1, 2021",$80.00,$5.15,''Case XX USA 2003 John Deere Yellow Bone 6318 Stockman Pocket KnifeCase XX USA 2003 John Deere Yellow Bone 6318 Stockman Pocket Knife
https://i.ebayimg.com/images/g/VIIAAOSw8YlhJBB5/s-l1200.jpg,,"Nov 1, 2021",$225.00,$10.15,''Case XX 2001 Rare Red White And Blue Made In America 1 Of 500 Pocket Knife SetCase XX 2001 Rare Red White And Blue Made In America 1 Of 500 Pocket Knife Set
https://i.ebayimg.com/images/g/QhoAAOSwVnxgx3bL/s-l1200.jpg,,"Nov 1, 2021",$85.00,$5.30,''Case XX USA 1976 4 Dot Two Blade Knife 6232 Brown Bone Handles MINTCase XX USA 1976 4 Dot Two Blade Knife 6232 Brown Bone Handles MINT
https://i.ebayimg.com/images/g/6PsAAOSwqElhQ-ri/s-l1200.jpg,,"Nov 2, 2021",$115.00,$12.70,''Case XX Changer Knife 4 Exchangeable Blades Bone Handle Sheath Manual BoxedCase XX Changer Knife 4 Exchangeable Blades Bone Handle Sheath Manual Boxed
https://i.ebayimg.com/images/g/XjgAAOSwMM1hgKO5/s-l1200.jpg,,"Nov 2, 2021",$49.99,$5.99,''1994 CASE XX USA Texas JACK Pocket KNIFE 6292 Brown JIG Bone HANDLE Made In USA1994 CASE XX USA Texas JACK Pocket KNIFE 6292 Brown JIG Bone HANDLE Made In USA
https://i.ebayimg.com/images/g/ANMAAOSwODlgs6kW/s-l1200.jpg,,"Nov 2, 2021",$30.00,$0.00,''W.R Case and Sons Cutlery Co. Case XX Pocket Knife - 3318 CUW.R Case and Sons Cutlery Co. Case XX Pocket Knife - 3318 CU
https://i.ebayimg.com/images/g/qDUAAOSwYalheyNb/s-l1200.jpg,,"Nov 2, 2021",$100.00,$5.80,''2010 CASE XX 6154L CV TRAPPERLOCK KNIFE Chestnut Jigged Bone ITEM # 07010 Carbon2010 CASE XX 6154L CV TRAPPERLOCK KNIFE Chestnut Jigged Bone ITEM # 07010 Carbon
https://i.ebayimg.com/images/g/NS0AAOSwo91heDta/s-l1200.jpg,,"Nov 2, 2021",$40.00,$5.15,''Case XX USA 63032 Stockman Knife - Unique color - �� Great Knife + Great deal!!Case XX USA 63032 Stockman Knife - Unique color - �� Great Knife + Great deal!!
https://i.ebayimg.com/images/g/UF8AAOSwlWxhUKXt/s-l1200.jpg,,"Nov 2, 2021",$27.50,$4.70,''Case XX USA #22087 SS Jack Folding Pocket Knife 3 Pin Black Delrin 2 Blades 2012Case XX USA #22087 SS Jack Folding Pocket Knife 3 Pin Black Delrin 2 Blades 2012
https://i.ebayimg.com/images/g/kA4AAOSwq4NheD-2/s-l1200.jpg,,"Nov 2, 2021",$36.99,$4.99,''Case Knife 101549L SS Orange ( LOT B490) Case Knife 101549L SS Orange ( LOT B490) 
https://i.ebayimg.com/images/g/BWQAAOSwG-VhgFVI/s-l1200.jpg,,"Nov 2, 2021",$200.00,$8.99,''Case XX Cheetah Cub Knockout Stag Nice Piece HTF Pocket Knife 511 1/2 NRCase XX Cheetah Cub Knockout Stag Nice Piece HTF Pocket Knife 511 1/2 NR
https://i.ebayimg.com/images/g/bq0AAOSwO0xhfJrK/s-l1200.jpg,,"Nov 2, 2021",$80.00,$5.00,''CASE XX OLIVE GREEN BONE DOCTORS KNIFECASE XX OLIVE GREEN BONE DOCTORS KNIFE
