Image,Field4,price_in_US,shipping_,Image1,title,date_sold,shipping_cost
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$23.70,$3.49,https://i.ebayimg.com/images/g/UDAAAOSwn0RfB0j8/s-l1200.jpg,Kershaw 1655BLK Vapor III Folding Knife - Fine Edge - Good Condition - V46,"May 8, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$29.95,$3.49,https://i.ebayimg.com/images/g/rksAAOSwMTdgQtxf/s-l1200.jpg,Vtg Kershaw Kai 5600 Seki Japan Stainless & Wood Scissor Folding Pocket Knife,"May 13, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$38.74,$3.49,https://i.ebayimg.com/images/g/HfQAAOSw3ipgpS43/s-l1200.jpg,Kershaw 1670NBSW USA Ken Onion Design Blue Speedsafe Blur Pocket Knife -- Good,"May 20, 2021",$4.99
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$14.95,$3.49,https://i.ebayimg.com/images/g/PM4AAOSwZp5fKdBe/s-l1200.jpg,Kershaw 3650CKTST Assisted Open RJ Martin Design Combo Edge Knife - Good R65,"May 24, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$18.70,$3.49,https://i.ebayimg.com/images/g/s3QAAOSwof5gU0Yp/s-l1200.jpg,"Kershaw 1555 SpeedSafe Hinderer Design Assisted Locking Knife, Several Styles","May 26, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$14.99,$3.49,https://i.ebayimg.com/images/g/DK4AAOSw96xgiQXl/s-l1200.jpg,"Kershaw 8750TOLBW Shuffle II Opener Camping Folding Knife, Olive -- Great Condit","May 26, 2021",$4.99
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$24.95,$3.49,https://i.ebayimg.com/images/g/V2wAAOSw8V9d2l4t/s-l1200.jpg,"Kershaw 1600 Chive, Speedsafe knife, Compact folder","May 29, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$39.95,$3.49,https://i.ebayimg.com/images/g/qOEAAOSwDIpgrVYq/s-l1200.jpg,Vintage Kershaw 1244TF Seki Japan Large Orange Fillet Lockback Folding Knife,"Jun 2, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$35.62,$3.49,https://i.ebayimg.com/images/g/O08AAOSwT9FgpAS7/s-l1200.jpg,Kershaw Cryo II Titanium Coated Folding Knife,"Jun 3, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$17.09,$3.49,https://i.ebayimg.com/images/g/SogAAOSwhyBgtoF~/s-l1200.jpg,Kershaw Speedsafe 1990 Brawler Folding Pocket Knife Assisted Plain Tanto Liner,"Jun 3, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$64.95,$3.49,https://i.ebayimg.com/images/g/EKYAAOSw-1FgtqHY/s-l1200.jpg,Kershaw Blackout 1550ST Folding Knife Discontinued Blade USA - Great Cond. 245,"Jun 3, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$79.95,$3.49,https://i.ebayimg.com/images/g/nPMAAOSwNzJgv8kA/s-l1200.jpg,Kershaw Ken Onion Storm 1475ST Folding Pocket Knife - Great Condition - 367,"Jun 9, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$21.95,$3.49,https://i.ebayimg.com/images/g/6aEAAOSwcXFgv8lV/s-l1200.jpg,Used Kershaw 1730SSST Zing Assisted Open Pocket Knife - Great Condition - 369,"Jun 13, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$26.95,$3.49,https://i.ebayimg.com/images/g/oVEAAOSwmsBgsWI~/s-l1200.jpg,"Kershaw 1244TF Seki Japan 5.25"" Blade Folding Lockback Fillet Knife","Jun 14, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$42.95,$3.49,https://i.ebayimg.com/images/g/OZIAAOSwz9hgsWI9/s-l1200.jpg,Vintage Kershaw 3100 Grant County Seki Japan Green Folding Lockback Pocket Knife,"Jun 14, 2021",$8.50
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$55.95,$3.49,https://i.ebayimg.com/images/g/2QMAAOSwQiFgv8jU/s-l1200.jpg,KERSHAW 1670 S30V BLUR LINER LOCK BLACK HANDLES KNIFE - Great Condition - 366 ,"Jun 14, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$19.95,$3.49,https://i.ebayimg.com/images/g/wYMAAOSwwTtgv8x~/s-l1200.jpg,Kershaw Brawler 1990 Folding Pocket Knife EDC - Great Condition - 370,"Jun 18, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$22.95,$3.49,https://i.ebayimg.com/images/g/zs8AAOSwdt9gzlLW/s-l1200.jpg,Kershaw Cryo 1555TI SpeedSafe Hinderer A/O Folding Pocket Knife - Great - 507,"Jun 20, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$39.99,$3.49,https://i.ebayimg.com/images/g/i-EAAOSwgzxghvzp/s-l1200.jpg,Kershaw Scallion 1620 Ken Onion Design Pocket Knife USA -- Great Condion,"Jun 21, 2021",$4.99
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$19.95,$3.49,https://i.ebayimg.com/images/g/9XgAAOSwJN1gv9Fv/s-l1200.jpg,Kershaw Brawler 1990 Folding Pocket Knife EDC - Great Condition - 378,"Jun 21, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$35.00,$3.49,https://i.ebayimg.com/images/g/fe4AAOSwbuFgGz0f/s-l1200.jpg,1776BW Kershaw Link Blackwashed pocket knife assisted opening USA Made,"Jun 22, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$32.50,$3.49,https://i.ebayimg.com/images/g/8I8AAOSwUh1gv8zW/s-l1200.jpg,Kershaw 1620ST Scallion Ken Onion Serrated Edge - Folding Knife - Great 372,"Jun 26, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$51.95,$3.49,https://i.ebayimg.com/images/g/~YYAAOSwB8Jgv8im/s-l1200.jpg,Kershaw Blur Folding Knife with Black Stainless Steel Serrated Blade - Great 365,"Jun 26, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$49.95,$3.49,https://i.ebayimg.com/images/g/HOQAAOSwv~xgv8ko/s-l1200.jpg,Green Kershaw (Snap-on) Speed-Safe 1620OLSO Knife - Great Condition - 368,"Jun 30, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$17.95,$3.49,https://i.ebayimg.com/images/g/UU0AAOSwz99gv9E8/s-l1200.jpg,KERSHAW 3840 KAI Speedsafe Assisted Open Tanto Foldable Pocket Knife - Great 377,"Jul 1, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$22.95,$3.49,https://i.ebayimg.com/images/g/-t0AAOSwzhlgzlKq/s-l1200.jpg,Kershaw Cryo 1555TI SpeedSafe Hinderer A/O Folding Pocket Knife - Great - 506,"Jul 4, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$32.51,$3.49,https://i.ebayimg.com/images/g/5jMAAOSw8FhgfxrR/s-l1200.jpg,Kershaw Emerson 6034/6034T Plain Edge Frame Lock Folding Pocket Knife Black G10,"Jul 7, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$18.95,$3.49,https://i.ebayimg.com/images/g/pVwAAOSwXHFg5MhO/s-l1200.jpg,KERSHAW 1830 - OSO SWEET Spring Assisted SPEEDSAFE Opening Pocket Knife - 394,"Jul 7, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$37.00,$3.49,https://i.ebayimg.com/images/g/un0AAOSwjQJga6Ud/s-l1200.jpg,KERSHAW 1620OL Olive Green Scallion Ken Onion assisted Pocket Knife -- Good Cond,"Jul 11, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$16.88,$3.49,https://i.ebayimg.com/images/g/TJEAAOSw-TtgtpT0/s-l1200.jpg,Kershaw 1306BW Black Stainless Steel Folding Pocket Knife Assisted Plain Frame,"Jul 13, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$17.95,$3.49,https://i.ebayimg.com/images/g/lz4AAOSwUJBgv9Dj/s-l1200.jpg,KERSHAW 1335WM Folding Pocket Knife w/ Pocket Clip - Great Condition - 375,"Jul 14, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$59.99,$3.49,https://i.ebayimg.com/images/g/PugAAOSw-MJgpWTx/s-l1200.jpg,"Kershaw 1045 Black Colt II NOS Pocket Knife With Sheath,Japan -- Great Condition","Aug 10, 2021",$7.99
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$51.95,$3.49,https://i.ebayimg.com/images/g/mlgAAOSwdpxg5Med/s-l1200.jpg,Kershaw Blur 1670TBLKST Folding Pocket Knife - Great Condition - 391,"Aug 10, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$22.95,$3.49,https://i.ebayimg.com/images/g/WBEAAOSwh59g3FFq/s-l1200.jpg,KERSHAW CRYO II MODEL 1556 ASSISTED OPENING FRAMELOCK FOLDING KNIFE  2 Varieties,"Aug 11, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$24.99,$3.49,https://i.ebayimg.com/images/g/IvAAAOSwg6hhFYSb/s-l1200.jpg,Pre Owned Folding KERSHAW 1650ST Vapor II Ken Onion Pocket Knife Lockback,"Aug 14, 2021",$4.60
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$31.99,$3.49,https://i.ebayimg.com/images/g/WzkAAOSwzTlgsqqz/s-l1200.jpg,Kershaw 1776GRYBW SpeedSafe Link Drop Point Asst. Folding Pocket Knife -- Great,"Aug 14, 2021",$4.99
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$44.95,$3.49,https://i.ebayimg.com/images/g/ypgAAOSwpmJgo6g3/s-l1200.jpg,"Kershaw 1600 Chive, Speedsafe knife, Compact folder","Aug 16, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$52.45,$3.49,https://i.ebayimg.com/images/g/jYYAAOSwZ-xhGNXx/s-l1200.jpg,"KERSHAW 1560 Ken Onion Whirlwind Assisted Open Folding Knife 4 1/4"", Serrated","Aug 18, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$31.95,$3.49,https://i.ebayimg.com/images/g/6bQAAOSwzJBgRsfq/s-l1200.jpg,Vintage Kershaw 3115 Corral Creek Seki Japan Folding Lockback Pocket Knife,"Aug 21, 2021",$0.00
